S.No,Tower No.,Tower Suspension / Tension,Tower Type (DC /SC ),Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,GANTRY ( KALIMANTHAYAM SS ),,Gantry,12,,,,,318,,10.5963903386145,77.6810247078537,GOOD,,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6810247078537 10.5963903386145, 77.6807559840381 10.5962689686566)"
2,1,T,DC,26,GANTRY -1,35.84834084314268,6.11,"=IF(H7>15,0)",317.531371999999,65°21'38''RT,10.5962689686566,77.6807559840381,GOOD,NO E/W,"LT, HT",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6807559840381 10.5962689686566, 77.6792080141603 10.5975919682532)"
3,2,T,DC+6,31,1-2,227.50452557630328,5.9,"=IF(H8>15,0)",317.943450999999,23°33'29''RT,10.5975919682532,77.6792080141603,GOOD,AVAILABLE,,"NH, CANAL",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6792080141603 10.5975919682532, 77.6784470211714 10.5991619825363)"
4,3,S,DC+6,32,2-3,196.22505460051318,4.1,"=IF(H9>15,0)",320.643981999999,,10.5991619825363,77.6784470211714,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6784470211714 10.5991619825363, 77.6778789795935 10.6003129854798)"
5,4,T,DC,26,3-4,145.27358846514755,5.7,"=IF(H10>15,0)",321.470428,140°13'8''LT,10.6003129854798,77.6778789795935,GOOD,AVAILABLE,LT - 5NO,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6778789795935 10.6003129854798, 77.6783219631761 10.6021030247211)"
6,5,T,DC+6,31,4-5,207.48260913574154,3.4,"=IF(H11>15,0)",323.245789,7°34'21''RT,10.6021030247211,77.6783219631761,GOOD,AVAILABLE,LT,NH,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6783219631761 10.6021030247211, 77.6789439842104 10.6036789901554)"
7,6,S,DC+6,32,5-6,190.76298405268818,6.07,"=IF(H12>15,0)",327.319336,,10.6036789901554,77.6789439842104,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6789439842104 10.6036789901554, 77.6793619897216 10.6047910172492)"
8,7,T,DC,25,6-7,134.82058178346995,4.83,"=IF(H13>15,0)",327.108184999999,0°13'38''RT,10.6047910172492,77.6793619897216,GOOD,AVAILABLE,LT,MUD ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6793619897216 10.6047910172492, 77.6799540035426 10.6063470337539)"
9,8,S,DC,26,7-8,187.52481046937058,3.79,"=IF(H14>15,0)",328.007506999999,,10.6063470337539,77.6799540035426,GOOD,AVAILABLE,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6799540035426 10.6063470337539, 77.6804679818451 10.6077260244637)"
10,9,T,DC,25,8-9,166.18014717751976,6.5,"=IF(H15>15,0)",328.358184999999,31°3'60''RT,10.6077260244637,77.6804679818451,GOOD,AVAILABLE,LT,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6804679818451 10.6077260244637, 77.6817779894918 10.6087640393525)"
11,10,S,DC,26,9-10,187.28777014502458,5.25,"=IF(H16>15,0)",328.531371999999,,10.6087640393525,77.6817779894918,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6817779894918 10.6087640393525, 77.6828579977154 10.6096970289945)"
12,11,T,DC,25,10-11,160.50478521322196,3.8,"=IF(H17>15,0)",330.031586,12°11'26''LT,10.6096970289945,77.6828579977154,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6828579977154 10.6096970289945, 77.6841319631785 10.6113889999687)"
