S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length (Mtr),Footing Resistance of Tower ( Ohms),,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken, etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain / Hilly/  Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1, T02 ( 94A) ,3W,T,DB,28,,,0.83,FALSE,408.679291,,9.833694444,77.32311111,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3231111111111 9.833694444444445, 77.32294444444445 9.834138888888889)"
2, T04,,T,DC,28, T02- T04,52.36486014,6.42,FALSE,409.4953,"26°1'48"" L",9.834138889,77.32294444,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.32294444444445 9.834138888888889, 77.32427777777778 9.835583333333334)"
3, T05,,T,DC,28, T04- T05,218.8414744,1.08,0,412.896942,"24°35'24""R",9.835583333,77.32427778,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.32427777777778 9.835583333333334, 77.32630555555555 9.836416666666667)"
4, T06,,T,DC,28, T05- T06,240.2105987,0.65,0,413.171265,"33°51'0""L",9.836416667,77.32630556,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.32630555555555 9.836416666666667, 77.32766666666666 9.838472222222222)"
5, T07,,T,DB,28, T06- T07,271.4557505,1.1,FALSE,411.587585,"6°12'0"" R",9.838472222,77.32766667,Good,Available,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.32766666666666 9.838472222222222, 77.32875 9.839805555555555)"
6, T08,2W,T,DC,28, T07- T08,188.4170287,0.75,FALSE,415.632599,"29°3'36"" L",9.839805556,77.32875,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.32875 9.839805555555555, 77.32880555555555 9.840111111111112)"
7, T09,,T,H-POLE,28, T08- T09,36.0405307,NIL,FALSE,416.177795,"8°16'48"" L",9.840111111,77.32880556,Good,No E/W,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.32880555555555 9.840111111111112, 77.32880555555555 9.840472222222223)"
8, T10,,T,H-POLE,28, T09- T10,38.65048745,NIL,FALSE,417.264771,"4°3'0"" L",9.840472222,77.32880556,Good,No E/W,110kV Theni - Periyar III,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.32880555555555 9.840472222222223, 77.32880555555555 9.840694444444445)"
9, T11,2W,T,DB,28, T10- T11,25.47835225,0.25,FALSE,417.771637,"16°52'12"" R",9.840694444,77.32880556,Good,No E/W,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.32880555555555 9.840694444444445, 77.32947222222222 9.843111111111112)"
10, T12,,S,DA,26, T11- T12,275.6627068,0.48,FALSE,420.044434,,9.843111111,77.32947222,Good,Available,LT,,Forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.32947222222222 9.843111111111112, 77.33 9.845111111111112)"
