S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length (m),Footing Resistance of Tower ( Ohms),,Ground Elevation(m),"Deviation Angle 
(Degrees)",Latitude,Longitude,"Condition of  Tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/  Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
85,83/2,3W,T,DB+0,22,83/1 -83/2,242,2.91,FALSE,322.1650391,9°30'15''RT,10.43538144,77.81103783,Good,Good,LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.811037832871 10.4353814385831, 77.8134659025818 10.4353772476315)"
86,3,,S,DA+0,24,6-7,270,2.95,FALSE,317.3586426,,10.43537725,77.8134659,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8134659025818 10.4353772476315, 77.8157454449683 10.4353753197938)"
87,4,,S,DA+0,24,7-8,254,7.27,FALSE,306.5438232,,10.43537532,77.81574544,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8157454449683 10.4353753197938, 77.8182505443692 10.4353717155754)"
88,5,,S,DA+0,24,8-9,278,3.04,FALSE,307.7454834,,10.43537172,77.81825054,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8182505443692 10.4353717155754, 77.8206817153841 10.435362579301)"
89,6,,T,DB+0,22,9-10,270,4.56,FALSE,312.3116455,1°5'22''RT,10.43536258,77.82068172,Good,Good,LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8206817153841 10.435362579301, 77.8232307359576 10.4353049956262)"
90,7,,S,DA+0,24,10-DP 1,283,1.14,FALSE,312.0712891,,10.435305,77.82323074,Good,Good,22KV,THAR ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8232307359576 10.4353049956262, 77.8258171398192 10.4352579731494)"
91,8,,S,DA+0,24,DP 1-DP 2,287,3.9,FALSE,307.0244141,,10.43525797,77.82581714,Good,Good,2-LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8258171398192 10.4352579731494, 77.8277873061597 10.4352124594151)"
92,9,,S,DA+0,24,DP 2-11,220,1.32,FALSE,302.2178955,,10.43521246,77.82778731,Good,Good,22KV-LT,THAR ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8277873061597 10.4352124594151, 77.8302754741162 10.4351786803454)"
93,10,,T,DC+0,22,11-12,277,6.34,FALSE,299.3338623,24°23'20''LT,10.43517868,77.83027547,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8302754741162 10.4351786803454, 77.8306058887392 10.4353215917944)"
94,DP 1,,T,DC+0,22,12-13,44,1.47,FALSE,302.458252,28°42'22''RT,10.43532159,77.83060589,Good,Good,400KV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8306058887392 10.4353215917944, 77.8308941423892 10.4352961108088)"
95,DP 2,,T,DB+0,22,13-14,36,3.94,FALSE,302.458252,9°39'45''LT,10.43529611,77.83089414,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8308941423892 10.4352961108088, 77.8311957232654 10.4353199154138)"
96,11,2W,T,DB+0,22,14-15,38,1.41,FALSE,300.0550537,13°45'21''LT,10.43531992,77.83119572,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8311957232654 10.4353199154138, 77.8334858268499 10.4360702633857)"
97,12,,S,DA+0,24,15-DP 1,268,5.14,FALSE,303.4195557,,10.43607026,77.83348583,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8334858268499 10.4360702633857, 77.8356726653873 10.4367761034518)"
98,13,,S,DA+0,24,DP 1-DP 2,256,2.65,FALSE,306.5438232,,10.4367761,77.83567267,Good,Good,LT,POND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8356726653873 10.4367761034518, 77.8373736049979 10.4373213462531)"
99,14,,S,DA+0,24,DP 2-16,200,3.11,FALSE,308.2260742,,10.43732135,77.8373736,Good,Good,LT,THAR ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8373736049979 10.4373213462531, 77.8392399195581 10.4379105940461)"
100,15,2W,T,DB+0,22,16-83/16/1 LILO REDIYARCHATRAM,219,5.6,FALSE,313.2729492,5°34'57''LT,10.43791059,77.83923992,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8392399195581 10.4379105940461, 77.8395537380129 10.4380442015826)"
101,DP 1,,T,DB+0,22,83/16/1 LILO REDIYARCHATRAM-17,42,3.6,FALSE,308.706665,0°59'1''RT,10.4380442,77.83955374,Good,Good,400KV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8395537380129 10.4380442015826, 77.8398214560002 10.4381528310477)"
102,DP 2,,T,DC+0,22,17-18,36,4.58,FALSE,308.706665,16°52'8''LT,10.43815283,77.83982146,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8398214560002 10.4381528310477, 77.8401206061244 10.438393978402)"
103,16,,T,DC+0,22,18-19,47,2.12,FALSE,308.706665,25°29'21''RT,10.43839398,77.84012061,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8401206061244 10.438393978402, 77.8410297073423 10.4386128298938)"
104,83/16/1 LILO REDIYARCHATRAM,3W,T,DC+0,22,19-20,107,5.61,FALSE,,18°47'27''LT,10.43861283,77.84102971,Good,Good,,,,LILO REDDIYARCHATRAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8410297073423 10.4386128298938, 77.8415848407894 10.438962355256)"
105,17,,T,DB+0,22,20-21,77,3.98,FALSE,303.4195557,6°24'29''RT,10.43896236,77.84158484,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8415848407894 10.438962355256, 77.8436125908046 10.4399435408413)"
