S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length (m),Footing Resistance of Tower ( Ohms),,Ground Elevation(m),"Deviation Angle 
Degrees",Latitude,Longitude,"Condition of  Tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/  Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,1 LILO,T,DB+0,22,,,3.25,"=IF(H6>15,0)",265.207397460937,,10.4810483101755,77.9275367315858,Good,Good,,,Plain,LILO VITALNAICKENPATTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9275367315858 10.4810483101755, 77.9291266947984 10.4797533061355)"
2,2,T,DB+0,22,1 LILO-2,230,4.75,"=IF(H7>15,0)",259.920166015625,1°5'39''LT,10.4797533061355,77.9291266947984,Good,Good,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9291266947984 10.4797533061355, 77.9306247085332 10.4785372596234)"
3,3,T,DB+0,22,2-3,217,3.84,"=IF(H8>15,0)",263.04443359375,11°21'46''LT,10.4785372596234,77.9306247085332,Good,Good,,THAR ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9306247085332 10.4785372596234, 77.9331951867789 10.4771847557276)"
4,4,T,DC+3,25,3-4,323,4.92,"=IF(H9>15,0)",264.24609375,22°16'58''RT,10.4771847557276,77.9331951867789,Good,Good,22KV ,CAR TRACK,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9331951867789 10.4771847557276, 77.933991048485 10.4762366786599)"
5,5,T,C+0,22,4-5,141,5.1,"=IF(H10>15,0)",261.6025390625,19°10'5''LT,10.4762366786599,77.933991048485,Good,Good,,,POND,"NO CLEARENCE POSSIBLE TO LAY OPGW AT CONDUCTOR PLACE ( ONE SIDE CONDUCTOR DUMMY) 
T.NO 5 & 6 S/C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.933991048485 10.4762366786599, 77.9345901031047 10.4758788552135)"
6,6,T,B+0,22,5-6,81,2.06,"=IF(H11>15,0)",261.6025390625,15°53'14''RT,10.4758788552135,77.9345901031047,Good,NO E/W,400 D/C PGLR-MDU,,POND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9345901031047 10.4758788552135, 77.9352395329624 10.4751896113157)"
7,7,T,DC+0,22,6-7,109,4.63,"=IF(H12>15,0)",259.19921875,33°24'8''LT,10.4751896113157,77.9352395329624,Good,Good,,,POND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9352395329624 10.4751896113157, 77.9377648327499 10.4745851084589)"
8,8,T,DD+3,27,7-8,289,4.58,"=IF(H13>15,0)",261.8427734375,38°41'35''RT,10.4745851084589,77.9377648327499,Good,Good,2-LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9377648327499 10.4745851084589, 77.9392287321388 10.4727111663669)"
9,9,T,DB+0,22,8-9,267,4.02,"=IF(H14>15,0)",274.33984375,1°33'22''RT,10.4727111663669,77.9392287321388,Good,Good,"LT,22KV",CAR TRACK,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9392287321388 10.4727111663669, 77.940870495513 10.4705668240785)"
10,10,T,DC+0,22,9-10,303,2.87,"=IF(H15>15,0)",268.091430664062,29°55'54''LT,10.4705668240785,77.940870495513,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.940870495513 10.4705668240785, 77.9429984930902 10.4696764983236)"
11,11,T,DC+3,25,10-11,257,3.29,"=IF(H16>15,0)",268.331665039062,22°12'36''LT,10.4696764983236,77.9429984930902,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9429984930902 10.4696764983236, 77.9450767021626 10.4696511849761)"
12,12,T,DB+0,22,11-12,232,4.92,"=IF(H17>15,0)",272.176879882812,11°23'12''RT,10.4696511849761,77.9450767021626,Good,Good,22KV ,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9450767021626 10.4696511849761, 77.9458787664771 10.4694811161607)"
13,13,T,DB+0,22,12-13,94,2.1,"=IF(H18>15,0)",268.331665039062,15°59'46''LT,10.4694811161607,77.9458787664771,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9458787664771 10.4694811161607, 77.9461530223488 10.4694996401667)"
14,Gantry Vitalnaikanpatty,T,BAY,12,13-Gantry Vitalnaikanpatty,35,NIL,,275.54150390625,,10.4694996401667,77.9461530223488,Good,NO E/W,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TOTOL KM,2578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
