S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,Gantry (Achampattu SS),2W,T,H-Pole,12,,,,,165,,9.94225,78.05194444,GOOD,,,,SS,Common tower for 110 kV Achampattu - Sempatti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.05194444444444 9.94225, 78.05241666666666 9.942694444444445)"
2,171,,T,DC,26,Gantry - 171,21.38429043,0.11,FALSE,165.681274,"74°12'56"" R",9.942694444,78.05241667,GOOD,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.05241666666666 9.942694444444445, 78.05494444444444 9.941194444444445)"
3,172,,T,DC,26,175-176,323.7010167,1.45,FALSE,152.740372,"2°34'45"" L",9.941194444,78.05494444,GOOD,Available,LT,Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.05494444444444 9.941194444444445, 78.05688888888889 9.940166666666666)"
4,173,,S,DA,26,176-177,241.3408018,4.15,FALSE,152.272949,,9.940166667,78.05688889,GOOD,Available,LT,Canal,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.05688888888889 9.940166666666666, 78.05847222222222 9.939222222222222)"
5,174,,T,DB,26,177-178,201.2065268,0.68,FALSE,153.045013,"0°12'43"" R",9.939222222,78.05847222,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.05847222222222 9.939222222222222, 78.05963888888888 9.938527777777779)"
6,175,,T,DC,26,178-179,151.5910215,10.08,FALSE,151.58342,"34°0'34"" R",9.938527778,78.05963889,GOOD,Available,"LT, HT",NH 7,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.05963888888888 9.938527777777779, 78.06038888888888 9.936944444444444)"
7,176,,T,DB,26,179-180,193.9823392,7.6,FALSE,147.137344,"0°49'38"" L",9.936944444,78.06038889,GOOD,Available,"LT, HT",Madurai - Theni Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.06038888888888 9.936944444444444, 78.06147222222222 9.934722222222222)"
8,177,,S,DA,26,180-181,271.5635933,5.64,FALSE,145.952484,,9.934722222,78.06147222,GOOD,Available,"LT, HT",ST  Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.06147222222222 9.934722222222222, 78.06269444444445 9.932194444444443)"
9,178,,S,DA,26,181-182,311.2184661,3.36,0,146.037018,,9.932194444,78.06269444,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.06269444444445 9.932194444444443, 78.06380555555555 9.929833333333333)"
10,179,,S,DA,26,182-183,288.8772609,11.05,FALSE,147.612473,,9.929833333,78.06380556,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.06380555555555 9.929833333333333, 78.06502777777777 9.927249999999999)"
