S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,99,2w,T,SC,22,,,1.23,FALSE,209.945816,,10.08975,77.92225,GOOD,,,,Plain,Common tower for 110kV Pasumalai - Ramarajapuram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.92225 10.08975, 77.9213888888889 10.091166666666668)"
2,98,,S,SA,21,99-98,182.5618522,2.1,FALSE,196.917908,,10.09116667,77.92138889,GOOD,Available,"HT,LT",Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9213888888889 10.091166666666668, 77.92027777777778 10.092861111111112)"
3,97,,S,SA,21,98-97,224.8584662,2.02,FALSE,200.20929,,10.09286111,77.92027778,GOOD,Available,HT,POND,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.92027777777778 10.092861111111112, 77.91927777777778 10.0945)"
4,96,,T,SB,21,97-96,211.9038557,1.7,FALSE,206.491653,"0°6'0""R",10.0945,77.91927778,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.91927777777778 10.0945, 77.91816666666666 10.096250000000001)"
5,95,,S,SA,22,96-95,227.3855208,2.72,FALSE,206.511505,,10.09625,77.91816667,GOOD,Available,HT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.91816666666666 10.096250000000001, 77.91722222222222 10.097750000000001)"
6,94,,S,SA,22,95-94,198.5747346,1.9,FALSE,204.590652,,10.09775,77.91722222,GOOD,Available,HT,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.91722222222222 10.097750000000001, 77.91611111111112 10.099555555555556)"
7,93,,S,SA,22,94-93,231.9303575,3.85,FALSE,201.147079,,10.09955556,77.91611111,GOOD,Available,LT,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.91611111111112 10.099555555555556, 77.91491666666667 10.101444444444445)"
8,92,,S,SA,22,93-92,246.3188954,1.37,FALSE,200.460587,,10.10144444,77.91491667,GOOD,Available,"HT,LT",Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.91491666666667 10.101444444444445, 77.91380555555556 10.103222222222222)"
9,91,,S,SA,22,92-91,233.6734424,1.4,FALSE,200.125,,10.10322222,77.91380556,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.91380555555556 10.103222222222222, 77.91319444444446 10.104222222222221)"
10,90,,T,SB,21,91-90,127.8389304,4.15,FALSE,200.451981,"1°22'12""R",10.10422222,77.91319444,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.91319444444446 10.104222222222221, 77.91252777777778 10.105222222222222)"
