S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,Gantry (Sholavandhan SS),Gantry,H-POLE,12,,,,,175.308562999999,,10.014861111111111,77.96497222222223,GOOD,,,,Plain,Rail Pole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.96497222222223 10.014861111111111, 77.96469444444445 10.014611111111112)"
2,145/ 7,T,DB,25,Ganrty - 145/7,37.770144932628796,2.04,"=IF(H7>15,0)",172.730499,"26°22'12""R",10.014611111111112,77.96469444444445,GOOD,NO E/W,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.96469444444445 10.014611111111112, 77.96419444444444 10.013305555555556)"
3,145/ 6,T,DB,25,"=B7& "" - ""&B8",155.18884228343268,3.12,"=IF(H8>15,0)",173.027221999999,"17°7'12""L",10.013305555555556,77.96419444444444,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.96419444444444 10.013305555555556, 77.96266666666666 10.011444444444445)"
4,145/ 5,T,DC,26,"=B8& "" - ""&B9",264.84066692717056,4.01,"=IF(H9>15,0)",172.255264,"35°26'24""L",10.011444444444445,77.96266666666666,GOOD,Available,,Vaigai River,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.96266666666666 10.011444444444445, 77.96133333333334 10.011055555555556)"
5,145/ 4,T,DB,25,"=B9& "" - ""&B10",152.7653737696301,2.17,"=IF(H10>15,0)",172.71759,"22°30'36""R",10.011055555555556,77.96133333333334,GOOD,Available,LT,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.96133333333334 10.011055555555556, 77.96058333333333 10.010472222222223)"
6,145/ 3,T,DB,25,"=B10& "" - ""&B11",104.53589337160697,1.3,"=IF(H11>15,0)",175.091644,"16°24'36""R",10.010472222222223,77.96058333333333,GOOD,Available,,Road,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.96058333333333 10.010472222222223, 77.95913888888889 10.008444444444445)"
7,145/ 2,T,DB,25,"=B11& "" - ""&B12",274.49472324580177,2.1,"=IF(H12>15,0)",172.701797,"1°15'0""L",10.008444444444445,77.95913888888889,GOOD,Available,2-LT,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.95913888888889 10.008444444444445, 77.958 10.006916666666667)"
8,145/ 1,T,DB,25,"=B12& "" - ""&B13",213.24050177533522,3.41,"=IF(H13>15,0)",175.861236999999,"14°43'48""L",10.006916666666667,77.958,GOOD,Available,"LT,11KV",,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.958 10.006916666666667, 77.95577777777778 10.005138888888888)"
9,LILO : 145 ,T,DC,26,"=B13& "" - ""&B14",314.3622142829127,1.01,"=IF(H14>15,0)",175.144896999999,"88°49'12""R",10.005138888888888,77.95577777777778,GOOD,Available,,Road,Plain,common tower for Samayanallur - Ramarajapuram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.95577777777778 10.005138888888888, 77.9545 10.006722222222223)"
10,144,S,SA,22,"=B14& "" - ""&B15",223.8409667984948,2.17,"=IF(H15>15,0)",174.06987,,10.006722222222223,77.9545,GOOD,Available,11KV,Road,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9545 10.006722222222223, 77.95322222222222 10.008333333333333)"
