S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,LILO : 145,2W,T,DC,26,,,1.01,FALSE,175.144897,,10.00513889,77.95577778,GOOD,,,,PLAIN,Common tower for Ramarajapuram - Sholavandan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.95577777777778 10.005138888888888, 77.95700000000001 10.003666666666666)"
2,146,,T,SC,22,145-146,211.1191616,2.71,FALSE,174.271011,"2°51'48"" R",10.00366667,77.957,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.95700000000001 10.003666666666666, 77.9585 10.001722222222222)"
3,147,,T,SC,22,146-147,272.3838498,3.01,FALSE,173.741455,"1°16'53"" L",10.00172222,77.9585,GOOD,NO E/W,"LT,400 KV",Rail way,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9585 10.001722222222222, 77.95958333333334 10.000388888888889)"
4,148,,S,SA,22,147-148,189.1181718,1.42,FALSE,172.301331,,10.00038889,77.95958333,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.95958333333334 10.000388888888889, 77.96080555555555 9.998805555555554)"
5,149,,S,SA,22,148-149,220.111962,2.04,FALSE,171.405579,,9.998805556,77.96080556,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.96080555555555 9.998805555555554, 77.96227777777779 9.997027777777777)"
6,150,,S,SA,22,149-150,256.2853496,1.6,FALSE,171.410858,,9.997027778,77.96227778,GOOD,Available,LT -2NO,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.96227777777779 9.997027777777777, 77.96333333333334 9.995694444444444)"
7,151,,S,SA,22,150-151,185.5430877,1.13,FALSE,169.942505,,9.995694444,77.96333333,GOOD,Available,"LT,HT",,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.96333333333334 9.995694444444444, 77.96455555555556 9.994166666666667)"
8,152,,S,SA,22,151-152,215.7317871,2.17,FALSE,168.939819,,9.994166667,77.96455556,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.96455555555556 9.994166666666667, 77.96580555555556 9.992583333333332)"
9,153,,S,SA,22,152-153,221.8044764,0.33,FALSE,167.90918,,9.992583333,77.96580556,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.96580555555556 9.992583333333332, 77.96716666666667 9.99086111111111)"
10,154,,S,SA,22,153-154,242.7716472,1.27,FALSE,174.130829,,9.990861111,77.96716667,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.96716666666667 9.99086111111111, 77.96863888888889 9.989083333333333)"
11,155,2W,T,SC,22,154-155,255.940924,1.6,FALSE,174.823837,"0°0'54"" R",9.989083333,77.96863889,GOOD,Available,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.96863888888889 9.989083333333333, 77.9696388888889 9.98786111111111)"
12,156,,S,SA,22,155-156,173.6660775,3.2,FALSE,175.555054,,9.987861111,77.96963889,GOOD,Available,"LT,HT",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9696388888889 9.98786111111111, 77.97069444444445 9.986472222222222)"
13,157,,S,SA,22,156-157,192.298868,1.48,FALSE,175.814774,,9.986472222,77.97069444,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.97069444444445 9.986472222222222, 77.97188888888888 9.985)"
14,158,,S,SA,22,157-158,209.748693,1.31,FALSE,175.813797,,9.985,77.97188889,GOOD,Available,LT -2NO,Village Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.97188888888888 9.985, 77.97319444444445 9.98336111111111)"
15,159,,S,SA,22,158-159,228.7739987,1.58,FALSE,178.709381,,9.983361111,77.97319444,GOOD,Available,HT,Village Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.97319444444445 9.98336111111111, 77.97436111111111 9.981944444444444)"
16,160,,S,SA,22,159-160,204.7384314,4.22,FALSE,180.955215,,9.981944444,77.97436111,GOOD,Available,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.97436111111111 9.981944444444444, 77.97538888888889 9.980611111111111)"
17,161,,S,SA,22,160-161,184.6509674,1.1,FALSE,180.282104,,9.980611111,77.97538889,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.97538888888889 9.980611111111111, 77.97652777777778 9.979222222222223)"
18,162,,T,SC,22,161-162,199.2265462,1.31,FALSE,181.120026,"26°30'22"" L",9.979222222,77.97652778,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.97652777777778 9.979222222222223, 77.97841666666667 9.978361111111111)"
19,163,,S,SA,22,162-163,226.9243093,2.02,FALSE,179.615204,,9.978361111,77.97841667,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.97841666666667 9.978361111111111, 77.98022222222222 9.977527777777778)"
20,164,,S,SA,22,163-164,218.8722316,1.7,FALSE,175.819305,,9.977527778,77.98022222,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.98022222222222 9.977527777777778, 77.98191666666666 9.976750000000001)"
21,165,,S,SA,22,164-165,205.2092134,2.48,FALSE,176.75412,,9.97675,77.98191667,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.98191666666666 9.976750000000001, 77.98313888888889 9.976138888888888)"
22,166,,T,SC,22,165-166,149.8088569,1.68,FALSE,177.71138,"2°43'39""  L",9.976138889,77.98313889,GOOD,Available,"LT,HT",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.98313888888889 9.976138888888888, 77.98508333333334 9.975277777777778)"
23,167,,S,SA,22,166-167,233.7914449,3.15,FALSE,177.249847,,9.975277778,77.98508333,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.98508333333334 9.975277777777778, 77.98686111111111 9.974472222222222)"
24,168,,S,SA,22,167-168,214.8742178,2.24,FALSE,178.151886,,9.974472222,77.98686111,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.98686111111111 9.974472222222222, 77.98858333333334 9.973666666666666)"
25,169,,S,SA,22,168-169,207.3976264,4.1,FALSE,180.172394,,9.973666667,77.98858333,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.98858333333334 9.973666666666666, 77.99061111111111 9.972722222222222)"
26,170,,S,SA,22,169-170,245.7820438,2.96,FALSE,179.079498,,9.972722222,77.99061111,GOOD,Available,LT,Village Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.99061111111111 9.972722222222222, 77.99230555555556 9.971916666666667)"
27,171,,S,SA,22,170-171,208.1200634,0.98,FALSE,183.467316,,9.971916667,77.99230556,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.99230555555556 9.971916666666667, 77.99419444444445 9.971055555555555)"
28,172,,S,SA,22,171-172,228.4579319,1.78,FALSE,183.094452,,9.971055556,77.99419444,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.99419444444445 9.971055555555555, 77.9961388888889 9.970166666666668)"
29,173,2W,T,SC,22,172-173,233.1833152,1.36,FALSE,181.951599,"0°20'12"" R",9.970166667,77.99613889,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9961388888889 9.970166666666668, 77.99813888888889 9.96925)"
30,174,,S,SA,22,173-174,241.7133824,2.72,FALSE,179.577438,,9.96925,77.99813889,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.99813888888889 9.96925, 77.99991666666666 9.968416666666666)"
31,175,,S,SA,22,174-175,216.7161974,1.27,FALSE,183.301636,,9.968416667,77.99991667,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.99991666666666 9.968416666666666, 78.00186111111111 9.967527777777779)"
32,176,,S,SA,22,175-176,234,3.01,FALSE,182.796112,,9.967527778,78.00186111,GOOD,Available,"LT,11V",ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.00186111111111 9.967527777777779, 78.00377777777778 9.966638888888887)"
33,177,,S,SA,22,176-177,232.1612431,2.23,FALSE,179.574432,,9.966638889,78.00377778,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.00377777777778 9.966638888888887, 78.00561111111111 9.96575)"
34,178,,S,SA,22,177-178,223.4194357,1.01,FALSE,177.753647,,9.96575,78.00561111,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.00561111111111 9.96575, 78.00769444444444 9.964777777777776)"
35,179,,S,SA,22,178-179,254.9691901,1.31,FALSE,182.505203,,9.964777778,78.00769444,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.00769444444444 9.964777777777776, 78.00944444444444 9.964027777777778)"
36,180,,T,SB,22,179-180,207.788541,2.12,FALSE,183.428116,"2°44'28"" R",9.964027778,78.00944444,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.00944444444444 9.964027777777778, 78.01119444444444 9.963166666666666)"
37,181,,S,SA,22,180-181,214.6657127,1.09,FALSE,180.388458,,9.963166667,78.01119444,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.01119444444444 9.963166666666666, 78.01344444444445 9.962138888888887)"
38,182,,S,SA,22,181-182,270.6193573,3.1,FALSE,176.343124,,9.962138889,78.01344444,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.01344444444445 9.962138888888887, 78.01522222222222 9.961305555555555)"
39,183,,S,SA,22,182-183,217.8975416,2.11,FALSE,178.713837,,9.961305556,78.01522222,GOOD,Available,,Village Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.01522222222222 9.961305555555555, 78.01705555555556 9.960444444444443)"
40,184,,S,SA,22,183-184,221.5894321,1.7,FALSE,177.225311,,9.960444444,78.01705556,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.01705555555556 9.960444444444443, 78.01916666666666 9.959472222222221)"
41,185,,S,SA,22,184-185,255.257609,1.15,FALSE,175.049026,,9.959472222,78.01916667,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.01916666666666 9.959472222222221, 78.02086111111112 9.958694444444443)"
42,186,,S,SA,22,185-186,206.10585,0.4,FALSE,175.59639,,9.958694444,78.02086111,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.02086111111112 9.958694444444443, 78.023 9.957694444444444)"
43,187,2W,T,SC,22,186-187,257.4410928,0.21,FALSE,174.244614,"0°29'28"" R",9.957694444,78.023,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.023 9.957694444444444, 78.02469444444445 9.956888888888889)"
44,188,,S,SA,22,187-188,208.135309,3.61,FALSE,174.601746,,9.956888889,78.02469444,GOOD,Available,,Village Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.02469444444445 9.956888888888889, 78.02658333333333 9.956027777777777)"
45,189,,S,SA,22,188-189,228.7924653,1.03,FALSE,174.493271,,9.956027778,78.02658333,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.02658333333333 9.956027777777777, 78.02844444444445 9.955166666666665)"
