S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,Gantry (Samayanallur SS),Gantry,H-POLE,12,,,,,160.562698,,9.974111111111112,78.04641666666666,GOOD,,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.04641666666666 9.974111111111112, 78.0466111111111 9.974055555555555)"
2,1,T,DC,26,Gantry-1,22.50976850952716,13.02,"=IF(H7>15,0)",157.048935,"11°23'13"" L",9.974055555555555,78.0466111111111,GOOD,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0466111111111 9.974055555555555, 78.04780555555556 9.973944444444445)"
3,2,T,DC,26,1-2,130.82886910737844,0.28,"=IF(H8>15,0)",154.903381,"66°52'34"" L",9.973944444444445,78.04780555555556,GOOD,Available,"110 KV,HT -6NO",Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.04780555555556 9.973944444444445, 78.0485 9.975194444444444)"
4,3,T,DC,26,2-3,159.84463907915244,0.32,"=IF(H9>15,0)",157.373382999999,"14°34'5"" R",9.975194444444444,78.0485,GOOD,Available,"HT,LT",Rail Way Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0485 9.975194444444444, 78.04941666666666 9.976138888888888)"
5,4,T,DC,26,3-4,143.55574146470823,12.84,"=IF(H10>15,0)",153.128875999999,"36°58'33"" R",9.976138888888888,78.04941666666666,GOOD,Available,,POND,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.04941666666666 9.976138888888888, 78.05141666666667 9.976472222222222)"
6,5,S,DA,26,4-5,224.1348052777361,1.97,"=IF(H11>15,0)",156.154297,,9.976472222222222,78.05141666666667,GOOD,Available,,POND,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.05141666666667 9.976472222222222, 78.05366666666666 9.976833333333333)"
7,6,S,DA,26,5-6,248.6740048242319,4.32,"=IF(H12>15,0)",153.073546999999,,9.976833333333333,78.05366666666666,GOOD,Available,,POND,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.05366666666666 9.976833333333333, 78.05627777777778 9.97725)"
8,7,S,DA,26,6-7,291.84000746869805,6.27,"=IF(H13>15,0)",150.220351999999,,9.97725,78.05627777777778,GOOD,Available,,POND,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.05627777777778 9.97725, 78.05894444444444 9.977638888888889)"
9,8,S,DA,26,7-8,294.0141088223092,2.41,"=IF(H14>15,0)",147.887038999999,,9.977638888888889,78.05894444444444,GOOD,Available,,POND,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.05894444444444 9.977638888888889, 78.06144444444445 9.978055555555555)"
10,9,S,DA,26,8-9,277.8989988144818,5.86,"=IF(H15>15,0)",152.934936999999,,9.978055555555555,78.06144444444445,GOOD,Available,"HT,LT -2N0",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.06144444444445 9.978055555555555, 78.06416666666667 9.978416666666666)"
11,10,S,DA,26,9-10,301.53230548636355,3.58,"=IF(H16>15,0)",150.705077999999,,9.978416666666666,78.06416666666667,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.06416666666667 9.978416666666666, 78.06666666666666 9.978777777777777)"
12,11,S,DA,26,10-11,279.6988400952767,5.26,"=IF(H17>15,0)",151.975266,,9.978777777777777,78.06666666666666,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.06666666666666 9.978777777777777, 78.06927777777777 9.979194444444445)"
