S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,Gantry (Alagar koil SS),Gantry,Gantry,12,,,,,203.038726999999,,10.052611111111112,78.18863888888889,GOOD,,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.18863888888889 10.052611111111112, 78.18900000000001 10.052611111111112)"
2,84,T,DC,26,Gantry-84,39.852032947472686,1.25,"=IF(H7>15,0)",201.413361,"36°57'0""L",10.052611111111112,78.18900000000001,GOOD,NO E/W,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.18900000000001 10.052611111111112, 78.18972222222223 10.052000000000001)"
3,83,T,DC,26,84-83,104.41526255707306,4.6,"=IF(H8>15,0)",197.638839999999,"49°35'60""L",10.052000000000001,78.18972222222223,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.18972222222223 10.052000000000001, 78.18977777777778 10.050472222222224)"
4,82,T,DB,25,83-82,169.53034907840527,3.3,"=IF(H9>15,0)",192.801575,"12°6'36""R",10.050472222222224,78.18977777777778,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.18977777777778 10.050472222222224, 78.19008333333333 10.04925)"
5,81,T,DB,25,82-81,140.74547510011143,1.46,"=IF(H10>15,0)",189.047271999999,"26°56'24""L",10.04925,78.19008333333333,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.19008333333333 10.04925, 78.18941666666667 10.046527777777778)"
6,80,T,DB,25,81-80,308.3047279529335,6.01,"=IF(H11>15,0)",186.37027,"15°2'60""L",10.046527777777778,78.18941666666667,GOOD,Available,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.18941666666667 10.046527777777778, 78.18886111111111 10.045527777777778)"
7,79,T,DB+3,28,80-79,126.06876855911051,4.42,"=IF(H12>15,0)",184.535048999999,"5°26'60""R",10.045527777777778,78.18886111111111,GOOD,Available,LT,Thoppalampatti Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.18886111111111 10.045527777777778, 78.18797222222223 10.0435)"
8,78,T,DC,26,79-78,244.83596258781236,3.07,"=IF(H13>15,0)",183.120285,"52°9'0""L",10.0435,78.18797222222223,GOOD,Available,LT,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.18797222222223 10.0435, 78.18586111111111 10.042944444444444)"
9,77,S,DA,26,78-77,239.5435158713497,6.67,"=IF(H14>15,0)",186.394409,,10.042944444444444,78.18586111111111,GOOD,Available,LT,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.18586111111111 10.042944444444444, 78.18358333333333 10.042333333333334)"
10,76,S,DA,26,77-76,261.34562576460155,4.01,"=IF(H15>15,0)",183.607147,,10.042333333333334,78.18358333333333,GOOD,Available,HT,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.18358333333333 10.042333333333334, 78.1811388888889 10.041694444444444)"
