S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,Gantry ( A.THEKKUR SS) ,2W,Gantry,H-POLE,12,,,,,133.735092,,10.17605556,78.53244444,GOOD,NO E/W,,,SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.53244444444444 10.176055555555555, 78.53230555555555 10.175833333333333)"
2,1,,T,DC,26,Gantry-1,27.83123104,2.06,FALSE,132.660614,"69°20'60""R",10.17583333,78.53230556,GOOD,Available,,,Plain,Common Tower for 110kV A.Thekkur - Singampunari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.53230555555555 10.175833333333333, 78.53377777777777 10.173694444444443)"
3,2,,T,SB+3,28,01-Feb,287.2874112,1.39,FALSE,129.171906,"27°22'12""R",10.17369444,78.53377778,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.53377777777777 10.173694444444443, 78.53608333333334 10.172444444444444)"
4,3,,S,SA,25,02-Mar,287.8726497,1.26,FALSE,130.694321,,10.17244444,78.53608333,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.53608333333334 10.172444444444444, 78.53841666666666 10.171249999999999)"
5,4,,S,SA,25,03-Apr,290.6367074,0.71,FALSE,128.650543,,10.17125,78.53841667,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.53841666666666 10.171249999999999, 78.54077777777778 10.169972222222222)"
6,5,,S,SA+3,28,04-May,292.8288537,1.26,FALSE,127.389229,,10.16997222,78.54077778,GOOD,Available,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.54077777777778 10.169972222222222, 78.54313888888889 10.168722222222222)"
7,6,,T,SB,25,05-Jun,293.7271708,2.56,FALSE,127.217453,"5°1'12""L",10.16872222,78.54313889,GOOD,Available,2-LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.54313888888889 10.168722222222222, 78.54522222222222 10.167333333333334)"
8,7,,S,SA,25,06-Jul,274.668292,1.67,FALSE,127.462608,,10.16733333,78.54522222,GOOD,Available,LT,Cholampatti Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.54522222222222 10.167333333333334, 78.54730555555555 10.165972222222223)"
9,8,,S,SA,25,07-Aug,276.0994018,2.9,FALSE,126.938431,,10.16597222,78.54730556,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.54730555555555 10.165972222222223, 78.54941666666666 10.164611111111112)"
10,9,,S,SA+3,28,08-Sep,276.2648813,4.46,FALSE,125.636726,,10.16461111,78.54941667,GOOD,Available,LT,Pond,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.54941666666666 10.164611111111112, 78.55152777777778 10.163222222222222)"
11,10,,S,SA,25,09-Oct,277.1602989,1.11,FALSE,125.674774,,10.16322222,78.55152778,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.55152777777778 10.163222222222222, 78.55366666666666 10.161861111111111)"
12,11,,T,SB,25,10-Nov,278.2144122,1.7,FALSE,123.48819,"30°9'0""L",10.16186111,78.55366667,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.55366666666666 10.161861111111111, 78.55472222222222 10.159777777777778)"
13,12,,T,SB,25,11-Dec,258.0983033,2.96,0,121.244858,"13°19'48""L",10.15977778,78.55472222,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.55472222222222 10.159777777777778, 78.55536111111111 10.157166666666667)"
14,13,,S,SA,25,Dec-13,296.0647394,1.26,0,119.663643,,10.15716667,78.55536111,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.55536111111111 10.157166666666667, 78.55602777777777 10.154583333333333)"
15,14,,S,SA+3,28,13-14,293.6531556,2.03,FALSE,119.988411,,10.15458333,78.55602778,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.55602777777777 10.154583333333333, 78.55661111111111 10.152138888888889)"
16,15,2W,T,SC,26,14-15,279.4768712,2.51,FALSE,119.882225,"40°20'24""L",10.15213889,78.55661111,GOOD,Available,,Pond,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.55661111111111 10.152138888888889, 78.55644444444444 10.151777777777777)"
17,16,,T,H-POLE,12,15-16,58,N,FALSE,120.071945,,10.15177778,78.55644444,GOOD,Available,,Pond,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.55644444444444 10.151777777777777, 78.5563611111111 10.151333333333334)"
18,17,,T,H-POLE,12,16-17,51.16359937,N,FALSE,119.734871,,10.15133333,78.55636111,GOOD,Available,230 KV Alagarkoil - Valuthur,Pond,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.5563611111111 10.151333333333334, 78.55655555555555 10.150861111111112)"
19,18,,T,SB,25,17-18,58.20663182,3.48,FALSE,118.735237,"1°44'24""R",10.15086111,78.55655556,GOOD,Available,,Pond,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.55655555555555 10.150861111111112, 78.55763888888889 10.148666666666665)"
20,19,,S,SA,25,18-19,269.5498717,5.21,FALSE,120.394432,,10.14866667,78.55763889,GOOD,Available,,Pond,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.55763888888889 10.148666666666665, 78.55872222222222 10.146444444444445)"
21,20,,S,SA,25,19-20,273.3930704,3.3,FALSE,118.777283,,10.14644444,78.55872222,GOOD,Available,,Pond,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.55872222222222 10.146444444444445, 78.55980555555556 10.144222222222222)"
22,21,,S,SA,25,20-21,272.4994964,4.34,FALSE,118.864563,,10.14422222,78.55980556,GOOD,Available,,Pond,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.55980555555556 10.144222222222222, 78.56094444444444 10.141916666666667)"
23,22,,S,SA,25,21-22,283.9653191,2.02,FALSE,118.327011,,10.14191667,78.56094444,GOOD,Available,,Pond,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.56094444444444 10.141916666666667, 78.56191666666666 10.139944444444444)"
24,23,,S,SA,25,22-23,243.8158439,2.25,FALSE,116.755264,,10.13994444,78.56191667,GOOD,Available,,Pond,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.56191666666666 10.139944444444444, 78.56302777777778 10.137722222222221)"
25,24,,T,SC+3,29,23-24,273.9842991,1.3,FALSE,115.375946,"9°22'12""R",10.13772222,78.56302778,GOOD,Available,HT,Pond,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.56302777777778 10.137722222222221, 78.56466666666667 10.135416666666666)"
26,25,,S,SA,25,24-25,311.3158363,3.29,FALSE,115.206924,,10.13541667,78.56466667,GOOD,Available,"HT,LT",Natham Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.56466666666667 10.135416666666666, 78.56616666666666 10.133388888888888)"
27,26,,T,SC,25,25-26,279.2698779,3.39,FALSE,114.250114,"42°58'48""L",10.13338889,78.56616667,GOOD,Available,"HT,LT",Maangudi Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.56616666666666 10.133388888888888, 78.56588888888889 10.131027777777778)"
28,27,,S,SA+3,28,26-27,263.2681368,4.71,FALSE,114.687263,,10.13102778,78.56588889,GOOD,Available,,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.56588888888889 10.131027777777778, 78.56566666666666 10.128472222222223)"
29,28,,T,SB,25,27-28,284.4493717,2.29,FALSE,114.361221,"4°22'48""R",10.12847222,78.56566667,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.56566666666666 10.128472222222223, 78.56563888888888 10.125388888888889)"
30,29,2W,T,SB,25,28-29,339.3010067,2.57,FALSE,117.526756,"16°18'36""R",10.12538889,78.56563889,GOOD,Available,2-LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.56563888888888 10.125388888888889, 78.56625 10.123222222222223)"
31,30,,S,SA+3,28,29-30,250.1518495,1.74,FALSE,117.623528,,10.12322222,78.56625,GOOD,Available,LT,Pond,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.56625 10.123222222222223, 78.56688888888888 10.120750000000001)"
32,31,,S,SA,25,30-31,282.7804857,3.31,FALSE,117.661949,,10.12075,78.56688889,GOOD,Available,,Pond,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.56688888888888 10.120750000000001, 78.5675 10.118583333333333)"
33,32,,S,SA,25,31-32,250.1645596,1.29,FALSE,116.523834,,10.11858333,78.5675,GOOD,Available,,Pond,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.5675 10.118583333333333, 78.568 10.116944444444444)"
34,33,,T,SC,26,32-33,187.3485111,2.29,FALSE,116.90564,"43°43'12""",10.11694444,78.568,GOOD,Available,LT,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.568 10.116944444444444, 78.57013888888889 10.11575)"
35,34,,S,SA,25,33-34,271.3601958,4.25,FALSE,114.362091,,10.11575,78.57013889,GOOD,Available,LT,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.57013888888889 10.11575, 78.57216666666666 10.114555555555555)"
36,35,,S,SA,25,34-35,259.3286451,3.32,FALSE,112.077515,,10.11455556,78.57216667,GOOD,Available,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.57216666666666 10.114555555555555, 78.57363888888888 10.11375)"
37,36,,S,SA+3,28,35-36,182.0705715,2.28,FALSE,111.934296,,10.11375,78.57363889,GOOD,Available,HT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.57363888888888 10.11375, 78.57491666666667 10.113055555555555)"
38,37,,T,SC+3,29,36-37,159.7043166,1.37,FALSE,111.26963,"33°33'0""L",10.11305556,78.57491667,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.57491666666667 10.113055555555555, 78.57588888888888 10.111194444444443)"
39,38,,T,SB+3,28,37-38,233.0005581,2.28,FALSE,109.381081,"10°55'12""R",10.11119444,78.57588889,GOOD,Available,LT,Madurai Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.57588888888888 10.111194444444443, 78.57744444444444 10.109277777777777)"
40,39,,T,SB,25,38-39,270.2800612,3.35,FALSE,109.742371,"18°9'0""L",10.10927778,78.57744444,GOOD,Available,2-LT,Ranasingapuram Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.57744444444444 10.109277777777777, 78.57838888888888 10.106833333333332)"
41,40,,S,SA+3,28,39-40,290.4639375,3.22,FALSE,109.046722,,10.10683333,78.57838889,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.57838888888888 10.106833333333332, 78.57925 10.1045)"
