S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,11,3W,T,DC,26,10-Nov,,2.3,FALSE,112.072113,"4°40'48""L",10.07297222,78.72261111,GOOD,Available,LT,Village Road,Plain,Common Tower for 110kV Karakudi - Sivakangai Link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.7226111111111 10.072972222222221, 78.72097222222223 10.072138888888889)"
2,12,,T,SC,26,11-Dec,203.0956471,4.25,FALSE,113.561325,"37°54'0""L",10.07213889,78.72097222,GOOD,Available,"2-HT,4-LT",Manakiri Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.72097222222223 10.072138888888889, 78.71847222222222 10.07263888888889)"
3,13,,T,SC,26,Dec-13,277.9861553,1.27,FALSE,111.357956,"54°57'36""R",10.07263889,78.71847222,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.71847222222222 10.07263888888889, 78.71666666666667 10.070916666666667)"
4,14,,S,SA,25,13-14,272.1111725,2.37,FALSE,108.377411,,10.07091667,78.71666667,GOOD,Available,,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.71666666666667 10.070916666666667, 78.715 10.069333333333333)"
5,15,,T,SC,26,14-15,253.5564935,1.41,FALSE,106.655777,"47°30'0""L",10.06933333,78.715,GOOD,Available,,Pond,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.715 10.069333333333333, 78.71227777777779 10.0695)"
6,16,,S,SA,25,15-16,300.5599311,1.07,FALSE,102.146057,,10.0695,78.71227778,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.71227777777779 10.0695, 78.71077777777778 10.069555555555555)"
7,17,,S,SA,25,16-17,165.3943253,2.08,FALSE,102.166985,,10.06955556,78.71077778,GOOD,Available,"HT,LT",Thirupathur Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.71077777777778 10.069555555555555, 78.70880555555556 10.069666666666667)"
8,18,,S,SA,25,17-18,215.7692071,4.21,FALSE,102.322182,,10.06966667,78.70880556,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.70880555555556 10.069666666666667, 78.70675 10.069749999999999)"
9,19,,T,SB,25,18-19,226.4616482,2.55,FALSE,101.561096,"26°11'24""R",10.06975,78.70675,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.70675 10.069749999999999, 78.70430555555556 10.068722222222222)"
10,20,,S,SA,25,19-20,291.6545382,1.4,FALSE,102.18438,,10.06872222,78.70430556,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.70430555555556 10.068722222222222, 78.70188888888889 10.067972222222222)"
