S. No ,Tower No,Tower Type 1,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earth wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,GT ACHARAPAKKAM 230KV SS,T,GANTRY,15,,,,65,,79.81138888888889,12.412166666666668,GOOD,MISSING,,,PLAIN,230KV ACHARAPAKKAM SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.81138888888889 12.412166666666668, 79.81125 12.41275)"
2,T.NO 1,T,DD,28,GT-1,64.7610994347687,3.87,68,"84°25'44""",79.81125,12.41275,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.81125 12.41275, 79.80958333333334 12.4125)"
3,T.NO 2,T,DB,24,1-2,183.709009033308,4.75,75,"9°31'22""",79.80958333333334,12.4125,GOOD,GOOD,HT-1 LT-1,,HILLS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.80958333333334 12.4125, 79.8065 12.411555555555555)"
4,T.NO 3,T,DC,26,2-3,348.862437072265,3.82,69,"24°58'36""",79.8065,12.411555555555555,GOOD,GOOD,,,FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.8065 12.411555555555555, 79.80427777777777 12.409583333333334)"
5,T.NO 4,S,DA,26,3-4,327.282752371707,2.21,68,,79.80427777777777,12.409583333333334,GOOD,GOOD,,,FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.80427777777777 12.409583333333334, 79.80230555555555 12.407805555555555)"
6,T.NO 5,S,DA,26,4-5,291.605898431427,5.78,69,,79.80230555555555,12.407805555555555,GOOD,GOOD,LT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.80230555555555 12.407805555555555, 79.8003611111111 12.406055555555556)"
7,T.NO 6,S,DA,26,5-6,286.020978251596,4.26,66,,79.8003611111111,12.406055555555556,GOOD,GOOD,LT-1 HT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.8003611111111 12.406055555555556, 79.79825 12.40413888888889)"
8,T.NO 7,S,DA,26,6-7,312.123373043417,5.43,65,,79.79825,12.40413888888889,GOOD,GOOD,,,FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.79825 12.40413888888889, 79.79622222222223 12.40225)"
9,T.NO 8,S,DA,26,7-8,304.217027794303,4.12,66,,79.79622222222223,12.40225,GOOD,GOOD,,,FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.79622222222223 12.40225, 79.79416666666667 12.40038888888889)"
10,T.NO 9,S,DA,26,8-9,304.384625104488,3.87,63,,79.79416666666667,12.40038888888889,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.79416666666667 12.40038888888889, 79.79205555555555 12.3985)"
11,T.NO 10,S,DA,26,9-10,307.278375418772,5.78,63,,79.79205555555555,12.3985,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.79205555555555 12.3985, 79.79013888888889 12.396749999999999)"
12,T.NO 11,S,DA,26,10-11,287.308196889682,6.12,59,,79.79013888888889,12.396749999999999,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.79013888888889 12.396749999999999, 79.78805555555556 12.394888888888888)"
13,T.NO 12,S,DA,26,11-12,304.453608945599,4.15,59,,79.78805555555556,12.394888888888888,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.78805555555556 12.394888888888888, 79.78597222222223 12.393027777777776)"
14,T.NO 13,S,DA,26,12-13,306.022874961987,3.78,57,,79.78597222222223,12.393027777777776,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.78597222222223 12.393027777777776, 79.78377777777777 12.391027777777778)"
15,T.NO 14,S,DA,26,13-14,325.465820018017,3.56,55,,79.78377777777777,12.391027777777778,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.78377777777777 12.391027777777778, 79.7816111111111 12.389083333333334)"
