S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,T.NO-12,T,DD,28,,,2.54,44,,12.9659,79.9726,GOOD,GOOD,,,PLAIN,"JOINT BOX AVAILABLE,T.NO-12 TO T.NO-16 EXISTING 48F AVAILABLE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9726 12.9659, 79.9707 12.9642)"
2,T.NO-13,T,DD,28,12-13,273.309348541172,3.71,44,"28°2'59"" ",12.9642,79.9707,GOOD,GOOD,,,PLAIN,HEAVY BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9707 12.9642, 79.9701 12.9624)"
3,T.NO-14,S,DA,26,13-14,220.168117582905,4.1,43,,12.9624,79.9701,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9701 12.9624, 79.9696 12.961)"
4,T.NO-15,T,DD,28,14-15,164.769536019253,3.91,43,"5°5'23"" ",12.961,79.9696,GOOD,GOOD,11KV-1,TAR-1(SH),PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9696 12.961, 79.9691 12.9586)"
5,T.NO-16 M/C,T,MC,52,15-16,266.390690528029,2.71,43,"34°4'22"" ",12.9586,79.9691,GOOD,NO EARTHWIRE,,,PLAIN,"EXISTING 48F CONNECTED TO NOIKA AND SIPCOT LINE,NO EARTH WIRE BETWEEN T.NO-16-T.N0-17,NEED THREE WAY JUNCTION BOX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9691 12.9586, 79.9704 12.9598)"
6,T.NO-17 M/C,T,MC,52,16-17,196.657061912355,3.52,43,"22°39'40"" ",12.9598,79.9704,GOOD,GOOD,11KV-1,TAR-1(SH),PLAIN,"EARTH WIRE STARTS FROM T.NO-17,NO OPGW DONE FROM T.NO-16 TO T.NO-44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9704 12.9598, 79.9726 12.9612)"
7,T.NO-18,T,DD,52,17M/C-18,285.245508290665,4.72,42,"32°29'45"" ",12.9612,79.9726,GOOD,GOOD,LT-1,,PLAIN,NEW TOWER FOUNDATION WORK DONE FOR M/C FROM T.NO-18 TO T.NO-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9726 12.9612, 79.9737 12.9621)"
8,T.NO-19,T,DD,52,18-19,150.894002531578,5.47,42,"20°58'26"" ",12.9621,79.9737,GOOD,GOOD,11KV-1,TAR-1(SH),PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9737 12.9621, 79.9742 12.9641)"
9,T.NO-20,T,DD,52,19-20,223.486017459706,6.12,41,"19°47'17"" ",12.9641,79.9742,GOOD,GOOD,LT-1,TAR-1(SH),PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9742 12.9641, 79.975 12.9651)"
10,T.NO-21(33old.no),T,DD,28,20-21(33old.no),147.634684271685,3.1,41,"12°14'4"" ",12.9651,79.975,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.975 12.9651, 79.9752 12.9653)"
11,T.NO-33/1 GT,GT,,15,21-33/1,28.3196045170126,,,,12.9653,79.9752,GOOD,NO EARTHWIRE,,,PLAIN,NO EARTH WIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9752 12.9653, 79.9755 12.9654)"
12,T.NO-33/2 GT,GT,,15,31-33/2,38.6393581727233,,,,12.9654,79.9755,GOOD,NO EARTHWIRE,400KV-2 XING ABOVE,,PLAIN,NO EARTH WIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9755 12.9654, 79.9759 12.9653)"
13,T.NO-34,T,DD,28,33/2-34,36.2215405525497,1.2,40,,12.9653,79.9759,GOOD,GOOD,,,PLAIN,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9759 12.9653, 79.9766 12.9653)"
14,T.NO-35,T,DD,28,34-35,79.6303962064738,,,"22°55'22"" ",12.9653,79.9766,GOOD,NO EARTHWIRE,,,PLAIN,"WATER LOGGED,NO EARTH WIRE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9766 12.9653, 79.9769 12.9653)"
15,T.NO-35/1,GT,,15,35-35/1,33.2415402771893,,,,12.9653,79.9769,GOOD,NO EARTHWIRE,220KV-1 XING ABOVE,,PLAIN,"WATER LOGGED,NO EARTH WIRE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9769 12.9653, 79.9772 12.9653)"
16,T.NO- 35/2,GT,,15,35/1- 35/2,29.8328677803526,,40,,12.9653,79.9772,GOOD,NO EARTHWIRE,,,PLAIN,"WATER LOGGED,NO EARTH WIRE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9772 12.9653, 79.9776 12.9651)"
17,T.NO-36,T,DD,28,35/2-36,47.8852795752515,2.54,40,"48°54'23"" ",12.9651,79.9776,GOOD,GOOD,,,PLAIN,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9776 12.9651, 79.9784 12.9634)"
18,T.NO-37,T,DD,28,36-37,207.646333943077,2.35,40,"27°11'3"" ",12.9634,79.9784,GOOD,GOOD,,,PLAIN,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9784 12.9634, 79.9798 12.9622)"
19,T.NO-38,S,DA,26,37-38,201.467118905294,,40,,12.9622,79.9798,GOOD,GOOD,,,PLAIN,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9798 12.9622, 79.9811 12.9612)"
20,T.NO-39,T,DD,28,38-39,184.285105203866,,40,"1°13'40"" ",12.9612,79.9811,GOOD,GOOD,,,PLAIN,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9811 12.9612, 79.9827 12.9599)"
21,T.NO-40,T,DD,28,39-40,220.09543384632,3.1,40,"26°5'9"" ",12.9599,79.9827,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9827 12.9599, 79.9854 12.9593)"
22,T.NO-41 M/C,T,MC,52,40-41,294.441844852256,3.17,40,"82°31'55"" ",12.9593,79.9854,GOOD,GOOD,,"MUD-1,POND-1",PLAIN,NEED THREE JUNCTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9854 12.9593, 79.9847 12.9576)"
23,T.NO-42 M/C,T,MC,52,41-42,201.675481900999,2.4,40,"7°29'5"" ",12.9576,79.9847,GOOD,GOOD,"11KV-1,LT-1",TAR-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9847 12.9576, 79.9843 12.956)"
24,T.NO-43 M/C,T,MC,52,42-43,185.299757150408,4.63,40,"89°12'7"" ",12.956,79.9843,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9843 12.956, 79.9838 12.9561)"
25,T.NO-44,T,DD,28,43-44,55.7853027239254,4.19,41,"16°13'9"" ",12.9561,79.9838,GOOD,NO EARTHWIRE,,,INSIDE SS,NO EARTH WIRE TO GANTRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9838 12.9561, 79.9835 12.9561)"
26,GANTRY PILLAIPAKKAM,GT,,15,44-GT,34.0147027033899,,,,12.9561,79.9835,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,=SUM(G7:G31),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note : 1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
