S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Longitude,Latitude,JB Location,Earthing Location,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,T.NO 1 ECHUR LILO,T,DC,26,,,,176,,79.54016666666666,12.506166666666667,Yes,,GOOD,GOOD,,,WATER LOGGED,ECHUR LILO NEED 3WAY JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.54016666666666 12.506166666666667, 79.54027777777777 12.506472222222222)"
2,T.NO 2,T,DD,28,1-2,34.539832078341085,,174,"37°38'3""",79.54027777777777,12.506472222222222,,,GOOD,GOOD,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.54027777777777 12.506472222222222, 79.54105555555556 12.506916666666667)"
3,T.NO 3,T,DB,24,2-3,97.24710792614863,,173,"1°37'23""",79.54105555555556,12.506916666666667,,,GOOD,GOOD,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.54105555555556 12.506916666666667, 79.54330555555555 12.508305555555555)"
4,T.NO 4,T,DB,24,3-4,289.69811873741946,4.95,173,"10°4'10""",79.54330555555555,12.508305555555555,,,GOOD,GOOD,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.54330555555555 12.508305555555555, 79.545 12.509833333333333)"
5,T.NO 5,S,DA,26,4-5,249.22680433693324,6.18,173,,79.545,12.509833333333333,,,GOOD,GOOD,LT-1,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.545 12.509833333333333, 79.54672222222221 12.511305555555555)"
6,T.NO 6,S,DA,26,5-6,247.97580527140144,6.25,176,,79.54672222222221,12.511305555555555,,,GOOD,GOOD,LT-1,ROAD-1,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.54672222222221 12.511305555555555, 79.54805555555555 12.5125)"
7,T.NO 7,S,DA,26,6-7,195.48913013259843,17.15,170,,79.54805555555555,12.5125,,,GOOD,GOOD,"LT-1,HT-1",,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.54805555555555 12.5125, 79.54936111111111 12.513722222222222)"
8,T.NO 8,T,DD,28,7-8,197.43606560099397,5.89,165,"33°25'2""",79.54936111111111,12.513722222222222,,,GOOD,GOOD,LT-1,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.54936111111111 12.513722222222222, 79.54980555555555 12.515361111111112)"
9,T.NO 9,T,DB,24,8-9,186.03494295427404,4.62,169,"6°59'4""",79.54980555555555,12.515361111111112,,,GOOD,GOOD,LT-1,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.54980555555555 12.515361111111112, 79.55077777777778 12.517805555555556)"
10,T.NO 10,T,DC,26,9-10,290.42899304305,7.15,169,"22°3'30""",79.55077777777778,12.517805555555556,,,GOOD,GOOD,LT-3,ROAD-1,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.55077777777778 12.517805555555556, 79.5521111111111 12.519194444444445)"
