S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,GANTRY KANCHIPURAM 110KV SS ,2W,,GT,15,,,,30,,12.88355556,79.64508333,,,,,PLAIN,INSIDE SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.64508333333335 12.883555555555555, 79.64511111111112 12.883833333333333)"
2,T.NO-33,,T,DC,26,GT-33,32.14031736,,30,"1°58'20""",12.88383333,79.64511111,GOOD,GOOD,,,PLAIN,INSIDE SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.64511111111112 12.883833333333333, 79.64516666666667 12.884611111111111)"
3,T.NO-32,,T,DC,26,33-32,84.14867795,0.75,31,"62°44'0""",12.88461111,79.64516667,GOOD,GOOD,,,PLAIN,INSIDE SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.64516666666667 12.884611111111111, 79.64611111111111 12.885027777777777)"
4,T.NO-31,,T,DC,26,32-31,113.7189518,0.95,31,"3°40'8""",12.88502778,79.64611111,GOOD,GOOD,,,PLAIN,INSIDE SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.64611111111111 12.885027777777777, 79.64763888888889 12.885805555555555)"
5,T.NO-30,,T,DC,26,31-30,186.0671922,1.91,30,"6°44'18""",12.88580556,79.64763889,GOOD,GOOD,"11KV-1,LT-1",TAR ROAD-1,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.64763888888889 12.885805555555555, 79.64930555555556 12.886944444444444)"
6,T.NO-29,,S,DA,26,30-29,220.2271555,,30,,12.88694444,79.64930556,GOOD,GOOD,LT-1,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.64930555555556 12.886944444444444, 79.65091666666667 12.888083333333332)"
7,T.NO-28,,T,DC,26,29-28,216.4532282,,29,"24°42'49""",12.88808333,79.65091667,GOOD,GOOD,11KV-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.65091666666667 12.888083333333332, 79.65258333333334 12.888416666666666)"
8,T.NO-27,,T,DC,26,28-27,185.3348321,1.09,40,"30°49'6""",12.88841667,79.65258333,GOOD,GOOD,LT-1,"TAR ROAD-1,CANAL-1",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.65258333333334 12.888416666666666, 79.65352777777778 12.889222222222221)"
9,T.NO-26,,T,DC,26,27-26,135.2811886,1.05,39,"21°58'36""",12.88922222,79.65352778,GOOD,GOOD,,CANAL-1,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.65352777777778 12.889222222222221, 79.65533333333335 12.889888888888889)"
10,T.NO-25,,T,DC,26,26-25,210.3449548,,38,"4°51'9""",12.88988889,79.65533333,GOOD,GOOD,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.65533333333335 12.889888888888889, 79.65761111111112 12.890472222222222)"
