Tower No,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
TVM GANTRY,T,20,,,,,,,12.204371937633697,79.03760063571573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.03760063571573 12.204371937633697, 79.0375018998616 12.204054890398027)"
44,DD,36,TVM GANTRY-44,,36,1.92,188,"34*1'34""LT",12.204054890398027,79.0375018998616,GOOD,NO EARTH WIRE,"LT1,33KV-1",NIL,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.0375018998616 12.204054890398027, 79.03786893781302 12.202873475894723)"
43,DB,32,44- 43,,273.5,2.4,181,"15*28'29""LT",12.202873475894723,79.03786893781302,GOOD,GOOD,"33KV-3,LT-1",ROAD,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.03786893781302 12.202873475894723, 79.03911431744869 12.200948126747509)"
42,DA,34,43-42,,253,2.8,175,,12.200948126747509,79.03911431744869,GOOD,GOOD,LT-1,NIL,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.03911431744869 12.200948126747509, 79.0404805111454 12.1988338217433)"
41,DC,34,42-41,,277.189,2.1,176,"23*36'22""RT",12.1988338217433,79.0404805111454,GOOD,GOOD,"LT-2,11KV-1",ROAD-1,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.0404805111454 12.1988338217433, 79.04068307979104 12.197524692747578)"
40,DA,34,41-40,,146.512,5.6,171,,12.197524692747578,79.04068307979104,GOOD,GOOD,NIL,NIL,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.04068307979104 12.197524692747578, 79.04099122215858 12.195601701575642)"
39,DC,34,40-39,,215.39,9.8,169,20*19'15RT,12.195601701575642,79.04099122215858,GOOD,GOOD,"11KV-1,LT-1",NIL,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.04099122215858 12.195601701575642, 79.04050324125153 12.193239206992564)"
38,DC,34,39-38,,266.732,12.08,167,"27*14'12""LT",12.193239206992564,79.04050324125153,GOOD,GOOD,"HT-2,LT-2",NIL,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.04050324125153 12.193239206992564, 79.04111614901689 12.191101458591813)"
37,DA,34,38-37,,245.751,4.6,170,,12.191101458591813,79.04111614901689,GOOD,GOOD,"HT-1,LT1",ROAD,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.04111614901689 12.191101458591813, 79.04161720572164 12.189179834821434)"
36,DA,34,37-36,,219.494,3.4,171,,12.189179834821434,79.04161720572164,GOOD,GOOD,LT-2,NIL,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.04161720572164 12.189179834821434, 79.04226056893901 12.186644606221693)"
35,DA,34,36-35,,289.11,5.8,169,,12.186644606221693,79.04226056893901,GOOD,GOOD,"HT-1,LT1",ROAD,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.04226056893901 12.186644606221693, 79.04281884726724 12.184434153691912)"
34,DC,34,35-34,,252,11.41,173,"16*18'56""RT",12.184434153691912,79.04281884726724,GOOD,GOOD,LT-1,NIL,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.04281884726724 12.184434153691912, 79.04270336971588 12.18138738358347)"
