S.No,Tower No.,Tower Suspension / Tension,Tower Type (DC /SC ),Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,LILO 70,T,DC,32,,,,34,,12.729885187,80.1031297724694,GOOD,,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1031297724694 12.729885187, 80.1034860033541 12.7315339911729)"
2,1,T,DC,32,LILO 70 - 1,188.9090402787952,1.3,33.5008509999999,26°18'8''RT,12.7315339911729,80.1034860033541,GOOD,NO E/W,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1034860033541 12.7315339911729, 80.1029809936881 12.733542965725)"
3,2,T,DC,32,1 - 2,231.35143652954403,2.54,33.637794,6°12'42''RT,12.733542965725,80.1029809936881,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1029809936881 12.733542965725, 80.1022810209542 12.7354330010712)"
4,3,S,DC,32,2 - 3,224.91779644168756,4.15,33.2561299999999,,12.7354330010712,80.1022810209542,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1022810209542 12.7354330010712, 80.1014859974384 12.7376579772681)"
5,4,S,DC,32,3 - 4,263.2744511747407,3.5,34.894581,,12.7376579772681,80.1014859974384,GOOD,NO E/W,400KV,,AGRI,UPLINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1014859974384 12.7376579772681, 80.1006889622658 12.7398550417274)"
6,5,T,DC,32,4 - 5,260.4365445241827,3.66,33.904884,7°32'56''RT,12.7398550417274,80.1006889622658,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1006889622658 12.7398550417274, 80.0995999854058 12.7419480029493)"
7,6,S,DC,32,5 - 6,262.41947839671013,1.91,35.6347469999999,,12.7419480029493,80.0995999854058,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0995999854058 12.7419480029493, 80.0984980165958 12.7440849691629)"
8,7,S,DC,32,6 - 7,267.39666114707813,4.16,36.228664,,12.7440849691629,80.0984980165958,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0984980165958 12.7440849691629, 80.0972999911755 12.7462770044803)"
9,8,T,DC,32,7 - 8,277.618038047518,5.47,36.2000079999999,5°19'3''RT,12.7462770044803,80.0972999911755,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0972999911755 12.7462770044803, 80.096215037629 12.7478870004415)"
10,9,S,DC,32,8 - 9,215.99303863800876,5.12,37.045292,,12.7478870004415,80.096215037629,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.096215037629 12.7478870004415, 80.0951109733432 12.7494959905743)"
11,10,S,DC,32,9 - 10,217.05203716280326,0.73,36.9114459999999,,12.7494959905743,80.0951109733432,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0951109733432 12.7494959905743, 80.0939309690147 12.751220986247)"
12,11,T,DC,32,10 - 11,232.2986990509805,3.65,39.1551169999999,19°46'11''LT,12.751220986247,80.0939309690147,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0939309690147 12.751220986247, 80.0936169829219 12.752425968647)"
13,12,T,DC,32,11 - 12,140.0581182375893,1.07,41.0078469999999,44°28'48''RT,12.752425968647,80.0936169829219,GOOD,AVAILABLE,,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0936169829219 12.752425968647, 80.0924679916352 12.7531140390783)"
14,13,T,DC,32,12 - 13,148.61615065935715,6.28,43.8945769999999,0°1'18''RT,12.7531140390783,80.0924679916352,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0924679916352 12.7531140390783, 80.0904938858002 12.7542952168732)"
15,14,S,DC,32,13 - 14,253.4864583913242,-,44,,12.7542952168732,80.0904938858002,GOOD,AVAILABLE,,,Water logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0904938858002 12.7542952168732, 80.0886915251612 12.7553732972592)"
16,15,T,DC,32,14 - 15,231.63092334205191,-,44,16°7'49''LT,12.7553732972592,80.0886915251612,GOOD,AVAILABLE,,,Water logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0886915251612 12.7553732972592, 80.0869488436728 12.7572431322187)"
17,16,S,DC,32,15 - 16,282.7796207225408,-,43,,12.7572431322187,80.0869488436728,GOOD,AVAILABLE,,,Water logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0869488436728 12.7572431322187, 80.0851774960756 12.7591524459421)"
18,17,T,DC,32,16 - 17,288.1016554578212,-,43,24°14'35''LT,12.7591524459421,80.0851774960756,GOOD,AVAILABLE,,,Water logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0851774960756 12.7591524459421, 80.0844512041658 12.7613092772662)"
19,18,S,DC,32,17 - 18,253.7331712956017,-,42,,12.7613092772662,80.0844512041658,GOOD,AVAILABLE,,,Water logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0844512041658 12.7613092772662, 80.0837189611047 12.7635139692574)"
20,19,T,DC,32,18 - 19,258.9637953748492,3.07,42.278168,19°44'2''LT,12.7635139692574,80.0837189611047,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0837189611047 12.7635139692574, 80.0837310310453 12.7640219964087)"
21,20,T,H-POLE,15,19 - 20,58.701951070679435,9.52,41.745651,49°13'19''RT,12.7640219964087,80.0837310310453,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0837310310453 12.7640219964087, 80.083288969472 12.764421980828)"
