S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,GANTRY SINGARAPET 110KV SS,GT,,15,,,,343,,12.2494,78.6112,GOOD,,,,INISDE SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.6112 12.2494, 78.6117 12.2493)"
2,T.NO-1,T,DD,28,GT-1,50.96076922496363,5.12,340,"13°42'42"" ",12.2493,78.6117,GOOD,NO EARTH WIRE,LT-1,MUD-1,INISDE SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.6117 12.2493, 78.6143 12.2492)"
3,T.NO-2,T,DD,31,1-2,282.21445746098834,6.21,340,,12.2492,78.6143,GOOD,GOOD,LT-1,TAR-1(SH),PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.6143 12.2492, 78.617 12.2491)"
4,T.NO-3,T,DD,31,2-3,301.20092961343926,4.44,342,,12.2491,78.617,GOOD,GOOD,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.617 12.2491, 78.6197 12.249)"
5,T.NO-4,S,DA,26,3-4,296.2043213729334,12.27,347,,12.249,78.6197,GOOD,GOOD,"11KV-1,LT-1",TAR-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.6197 12.249, 78.6228 12.249)"
6,T.NO-5,S,DA,26,4-5,331.15102294874464,10.42,351,,12.249,78.6228,RUSTED,GOOD,LT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.6228 12.249, 78.6255 12.2489)"
7,T.NO-6,S,DA,26,5-6,290.2085457046363,11.84,351,,12.2489,78.6255,RUSTED,GOOD,LT-1,MUD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.6255 12.2489, 78.6282 12.2488)"
8,T.NO-7,S,DA,26,6-7,298.1358750637031,12.27,357,,12.2488,78.6282,RUSTED,GOOD,LT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.6282 12.2488, 78.6311 12.2488)"
9,T.NO-8,S,DA,26,7-8,314.2292157008956,13.92,360,,12.2488,78.6311,RUSTED,GOOD,LT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.6311 12.2488, 78.6344 12.2487)"
10,T.NO-9,S,DA,26,8-9,357.201623736511,10.39,360,,12.2487,78.6344,RUSTED,GOOD,11KV-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.6344 12.2487, 78.6372 12.2486)"
11,T.NO-10,S,DA,26,9-10,314.1289544120376,12.21,362,,12.2486,78.6372,RUSTED,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.6372 12.2486, 78.6404 12.2486)"
12,T.NO-11,S,DA,26,10-11,341.1773732239581,13.32,364,,12.2486,78.6404,RUSTED,GOOD,LT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.6404 12.2486, 78.6435 12.2485)"
13,T.NO-12,S,DA,26,11-12,343.2855953866984,12.47,370,,12.2485,78.6435,RUSTED,NO EARTH WIRE,230KV-1 XING ABOVE,TAR-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.6435 12.2485, 78.6454 12.2484)"
14,T.NO-13,T,DD,28,12-13,204.1984329028996,,372,"30°4'44"" ",12.2484,78.6454,RUSTED,GOOD,,,PLAIN,HILLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.6454 12.2484, 78.6479 12.2497)"
15,T.NO-14,S,DA,26,13-14,311.30692250574833,,375,,12.2497,78.6479,RUSTED,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.6479 12.2497, 78.6502 12.2509)"
16,T.NO-15,S,DA,26,14-15,278.1726082848561,,371,,12.2509,78.6502,RUSTED,GOOD,LT-1,MUD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.6502 12.2509, 78.6529 12.2522)"
17,T.NO-16,S,DA,26,15-16,326.9281266578329,14.29,371,,12.2522,78.6529,RUSTED,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.6529 12.2522, 78.6554 12.2535)"
18,T.NO-17,S,DA,26,16-17,306.3494736408078,11.84,372,,12.2535,78.6554,RUSTED,GOOD,LT-1,TAR-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.6554 12.2535, 78.6579 12.2548)"
19,T.NO-18,S,DA,26,17-18,306.3494736408078,14.9,370,,12.2548,78.6579,RUSTED,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.6579 12.2548, 78.6605 12.2562)"
