S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,GANTRY KITS 220KV SS,2W,GT,GT,15,,,,,,12.9051,80.214,GOOD,,,,INSIDE SS ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.214 12.9051, 80.214 12.9048)"
2,T.NO-119,,T,DD,28,GT-119,24.51530134,0.3,4,"55°58'58"" ",12.9048,80.214,GOOD,GOOD,,,INSIDE SS ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.214 12.9048, 80.2138 12.9048)"
3,T.NO-118,,T,DD,28,119-118,23.76972865,0.3,4,"8°12'59"" ",12.9048,80.2138,GOOD,GOOD,,,INSIDE SS ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.2138 12.9048, 80.2136 12.9047)"
4,T.NO-117 S/C,,T,DD,28,118-117,19.72308292,,4,"30°27'56"" ",12.9047,80.2136,GOOD,NO EARTH WIRE,220KV- 1 M/C XING ABOVE,,INSIDE SS ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.2136 12.9047, 80.213 12.9047)"
5,T.NO-116 S/C,,T,DD,28,117-116,62,,4,"51°0'32"" ",12.9047,80.213,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.213 12.9047, 80.2129 12.9049)"
6,T.NO-115,,T,DD,34,116-115,27.01851217,,4,"47°31'18"" ",12.9049,80.2129,GOOD,GOOD,220KV -1 S/C XING BELOW,,PLAIN,INSIDE CANAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.2129 12.9049, 80.2132 12.9072)"
7,T.NO-114,,T,DD,34,115-114,262.9087294,,4,"2°40'9"" ",12.9072,80.2132,GOOD,GOOD,,,PLAIN,INSIDE CANAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.2132 12.9072, 80.2135 12.9096)"
8,T.NO-113,,T,DD,32,114-113,264.382299,,4,"46°39'22"" ",12.9096,80.2135,GOOD,GOOD,,MUD-1,PLAIN,INSIDE CANAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.2135 12.9096, 80.2123 12.9109)"
9,T.NO-112,,S,DA,26,113-112,192.8522751,,4,,12.9109,80.2123,GOOD,GOOD,,,PLAIN,INSIDE WATER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.2123 12.9109, 80.2106 12.9126)"
10,T.NO-111,,T,DD,32,112-111,260.2191384,,4,"37°10'53"" ",12.9126,80.2106,GOOD,NO EARTH WIRE,,,PLAIN,INSIDE WATER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.2106 12.9126, 80.2105 12.9126)"
11,GANTRY,,GT,,15,111-GANTRY,14.14213562,,4,,12.9126,80.2105,GOOD,GOOD,,,PLAIN,INSIDE WATER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.2105 12.9126, 80.2104 12.9126)"
12,T.NO-110,,T,DD,32,GANTRY - 110,11.40175425,,4,"80°53'22"" ",12.9126,80.2104,GOOD,NO EARTH WIRE,,,PLAIN,INSIDE WATER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.2104 12.9126, 80.2093 12.9101)"
13,T.NO-109,,S,DA,26,110-109,302.9867984,,4,,12.9101,80.2093,GOOD,GOOD,,,PLAIN,INSIDE WATER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.2093 12.9101, 80.2079 12.9075)"
14,T.NO-108,,S,DA,30,109-108,321.5493741,,4,,12.9075,80.2079,GOOD,GOOD,,"MUD-1,TAR-1(SH)",PLAIN,"INSIDE WATER,FUTURE WILL COME UNDER GROUND CABLE FOR METRO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.2079 12.9075, 80.2067 12.9051)"
15,T.NO-107,,S,DA,28,108-107,302.3193676,,4,,12.9051,80.2067,GOOD,GOOD,LT-1,TAR-1,PLAIN,INSIDE WATER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.2067 12.9051, 80.2055 12.9026)"
16,T.NO-106,2W,T,DD,28,107-106,295.6653514,5.21,4,"39°57'11"" ",12.9026,80.2055,GOOD,GOOD,,TAR-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.2055 12.9026, 80.2031 12.9016)"
17,T.NO-105,,S,DA,28,106-105,288.1735588,,7,,12.9016,80.2031,GOOD,GOOD,,,PLAIN,INSIDE WATER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.2031 12.9016, 80.2007 12.9004)"
18,T.NO-104,,S,DA,26,105-104,290.8264087,3.17,7,,12.9004,80.2007,GOOD,GOOD,,TAR-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.2007 12.9004, 80.1982 12.8993)"
19,T.NO-103,,S,DA,26,104-103,294.3891982,3.29,7,,12.8993,80.1982,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1982 12.8993, 80.1956 12.8981)"
20,T.NO-102,,S,DA,28,103-102,315.4837555,,7,,12.8981,80.1956,RUSTED,GOOD,,TAR-1,PLAIN,INSIDE WATER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1956 12.8981, 80.1931 12.897)"
21,T.NO-101,,S,DA,26,102-101,295.8732837,5.37,7,,12.897,80.1931,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1931 12.897, 80.1906 12.8959)"
22,T.NO-100,,S,DA,28,101-100,296.1418579,,8,,12.8959,80.1906,GOOD,GOOD,,,PLAIN,INSIDE LAKE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1906 12.8959, 80.188 12.8947)"
23,T.NO-99,,S,DA,28,100-99,315.9003007,,8,,12.8947,80.188,GOOD,GOOD,,TAR-5,PLAIN,INSIDE WATER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.188 12.8947, 80.1853 12.8934)"
24,T.NO-98,2W,T,DD,28,99-98,321.6970625,,9,,12.8934,80.1853,GOOD,GOOD,"33KV-1,LT-2","MUD-1,TAR-1,CC-1",PLAIN,INSIDE HOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1853 12.8934, 80.1829 12.8923)"
25,T.NO-97,,S,DA,30,98-97,296.529931,5.92,9,,12.8923,80.1829,GOOD,GOOD,LT-2,"TAR-1,CANAL-1,CC-1",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1829 12.8923, 80.18 12.8909)"
26,T.NO-96,,S,DA,28,97-96,348.0359177,,9,,12.8909,80.18,GOOD,GOOD,,,PLAIN,INSIDE LAKE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.18 12.8909, 80.1772 12.8896)"
27,T.NO-95,,S,DA,28,96-95,328.2986445,,9,,12.8896,80.1772,GOOD,GOOD,,,PLAIN,INSIDE LAKE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1772 12.8896, 80.1745 12.8884)"
