S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire ( Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,95,3W,Tension,DD+3,31,-,-,3.77,333,,12.84949722,78.70728889,GOOD,-,-,-,Plain,LILO Tower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.7072888888889 12.849497222222222, 78.70639166666668 12.850791666666666)"
2,1,,Tension,DB+0,24,4-5,177,3.9,334,"9°35'54.98""LT",12.85079167,78.70639167,GOOD,GOOD,Two LT,Fencing Wire,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.70639166666668 12.850791666666666, 78.70520277777779 12.85201111111111)"
3,2,,Suspension,DA+0,26,5-6,189,4.8,337,,12.85201111,78.70520278,GOOD,GOOD,Two LT,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.70520277777779 12.85201111111111, 78.70421666666667 12.85308611111111)"
4,3,,Tension,DD+0,28,6-7,167,7.4,337,"45°27'28.26""RT",12.85308611,78.70421667,GOOD,GOOD,LT,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.70421666666667 12.85308611111111, 78.70427777777778 12.855444444444444)"
5,4,,Suspension,DA+0,26,7-8,263,4.72,340,,12.85544444,78.70427778,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.70427777777778 12.855444444444444, 78.70426944444445 12.857530555555556)"
6,5,,Tension,DD+0,28,8-9,238,2.19,342,"58°1’10.22""LT",12.85753056,78.70426944,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.70426944444445 12.857530555555556, 78.70275000000001 12.858513888888888)"
7,6,,Suspension,DA+0,26,9-10,199,3.2,344,,12.85851389,78.70275,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.70275000000001 12.858513888888888, 78.70113611111111 12.859555555555556)"
8,7,,Tension,DC+0,26,10-11,214,7.1,348,"27°54'57.07""RT",12.85955556,78.70113611,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.70113611111111 12.859555555555556, 78.69976944444444 12.861975)"
9,8,,Suspension,DA+0,26,11-12,311,5.1,351,,12.861975,78.69976944,GOOD,GOOD,LT,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.69976944444444 12.861975, 78.69850277777778 12.86368888888889)"
10,9,,Suspension,DA+0,26,12-13,238,4,350,,12.86368889,78.69850278,GOOD,GOOD,LT,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.69850277777778 12.86368888888889, 78.69716666666667 12.865666666666666)"
11,10,,Suspension,DA+0,26,13-14,267,6.1,348,,12.86566667,78.69716667,GOOD,GOOD,"11kv, Two LT","CTR, Canal",Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.69716666666667 12.865666666666666, 78.69587777777778 12.867741666666667)"
12,11,,Suspension,DA+0,26,14-15,273,7.3,350,,12.86774167,78.69587778,GOOD,GOOD,"11kv, LT",CTR,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.69587777777778 12.867741666666667, 78.69438333333333 12.869941666666668)"
13,12,,Suspension,DA+0,26,15-16,296,4.1,352,,12.86994167,78.69438333,GOOD,GOOD,LT,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.69438333333333 12.869941666666668, 78.69335555555556 12.871486111111112)"
14,13,2W,Tension,DD+0,28,16-17,205,2.1,356,"40°24'18.77""RT",12.87148611,78.69335556,GOOD,GOOD,-,CTR,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.69335555555556 12.871486111111112, 78.69365555555557 12.873883333333334)"
15,14,,Suspension,DA+0,26,17-18,272,0.2,360,,12.87388333,78.69365556,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.69365555555557 12.873883333333334, 78.6939388888889 12.876327777777778)"
16,15,,Suspension,DA+0,26,18-19,278,1.9,356,,12.87632778,78.69393889,GOOD,GOOD,11kv,"CTR, Canal",Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.6939388888889 12.876327777777778, 78.69416666666667 12.878633333333333)"
17,16,,Suspension,DA+0,26,19-20,262,7.2,353,,12.87863333,78.69416667,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.69416666666667 12.878633333333333, 78.69440277777778 12.880886111111112)"
18,17,,Suspension,DA+0,26,20-21,254,3.7,354,,12.88088611,78.69440278,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.69440277777778 12.880886111111112, 78.69465000000001 12.88316388888889)"
19,18,,Tension,DD+0,28,21-22,259,5.3,356,"34°5’7.65""LT",12.88316389,78.69465,GOOD,GOOD,LT,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.69465000000001 12.88316388888889, 78.6936 12.88508888888889)"
20,19,,Suspension,DA+0,26,22-23,243,0.3,363,,12.88508889,78.6936,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.6936 12.88508888888889, 78.69256944444444 12.887030555555555)"
21,20,,Tension,DD+0,28,23-24,246,2.5,370,"33°32'59.39""RT",12.88703056,78.69256944,GOOD,GOOD,LT,CTR,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.69256944444444 12.887030555555555, 78.69288333333334 12.890025)"
22,21,,Suspension,DA+0,26,24-25,337,0.7,362,,12.890025,78.69288333,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.69288333333334 12.890025, 78.69300833333334 12.891419444444445)"
23,22,,Tension,DD+0,28,25-26,161,11.2,358,"42°45'28.2""LT",12.89141944,78.69300833,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.69300833333334 12.891419444444445, 78.69173888888889 12.893077777777778)"
24,23,,Suspension,DA+0,26,26-27,233,6.6,357,,12.89307778,78.69173889,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.69173888888889 12.893077777777778, 78.69058055555556 12.894930555555556)"
25,24,,Tension,DB+0,24,27-28,243,4.2,357,"1°1'25.05""LT",12.89493056,78.69058056,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.69058055555556 12.894930555555556, 78.68949722222223 12.89653888888889)"
26,25,,Tension,DD+0,28,28-29,219,4.3,356,"67°22'21.75""RT",12.89653889,78.68949722,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.68949722222223 12.89653888888889, 78.68998888888889 12.897274999999999)"
27,26,2W,Tension,DC+0,26,29-30,102,0.4,353,"23°10'27.17""RT",12.897275,78.68998889,GOOD,GOOD,-,Poultry Farm,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.68998888888889 12.897274999999999, 78.69161944444444 12.898344444444444)"
28,27,,Tension,DC+0,26,30-31,217,1.2,350,"18°6’25.59""LT",12.89834444,78.69161944,GOOD,GOOD,Two LT,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.69161944444444 12.898344444444444, 78.69265555555556 12.899638888888889)"
29,28,,Tension,DC+0,26,31-32,188,1.2,350,"20°31'32.66""RT",12.89963889,78.69265556,GOOD,GOOD,"Two 11kv, LT",-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.69265555555556 12.899638888888889, 78.69415833333333 12.900536111111112)"
30,29,,Tension,DB+0,24,32-33,196,2.8,347,"4°22’22.4""LT",12.90053611,78.69415833,GOOD,GOOD,Two 11kv,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.69415833333333 12.900536111111112, 78.69562222222223 12.90158888888889)"
31,30,,Tension,DC+0,26,33-34,202,2.9,345,"20°56'11.75""RT",12.90158889,78.69562222,GOOD,GOOD,66kv,Canal,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.69562222222223 12.90158888888889, 78.69798333333334 12.902177777777778)"
32,31,,Tension,DB+0,24,34-35,270,3.1,347,"2°57’10.25""LT",12.90217778,78.69798333,GOOD,GOOD,-,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.69798333333334 12.902177777777778, 78.7004 12.902933333333333)"
33,32,,Suspension,DA+0,26,35-36,278,1.5,348,,12.90293333,78.7004,GOOD,GOOD,Two LT,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.7004 12.902933333333333, 78.70290833333334 12.903677777777778)"
34,33,,Suspension,DA+0,26,36-37,290,0.7,350,,12.90367778,78.70290833,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.70290833333334 12.903677777777778, 78.70519722222222 12.904258333333333)"
35,34,,Tension,DD+0,28,37-38,258,6,349,"48°17’48.99""LT",12.90425833,78.70519722,GOOD,GOOD,"Two 11kv, LT",-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.70519722222222 12.904258333333333, 78.70619166666667 12.906136111111111)"
36,35,,Suspension,DA+0,26,38-39,240,6.1,349,,12.90613611,78.70619167,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.70619166666667 12.906136111111111, 78.70709444444445 12.908377777777778)"
37,36,,Tension,DD+0,28,39-40,272,10.5,350,"43°54’28.16""LT",12.90837778,78.70709444,GOOD,GOOD,LT,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.70709444444445 12.908377777777778, 78.70616111111111 12.9107)"
38,37,,Tension,DB+0,24,40-Peranambut Gantry,279,4.1,349,"6°22'15.19""RT",12.9107,78.70616111,GOOD,GOOD,"Three LT, 11kv",CTR,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.70616111111111 12.9107, 78.70584722222223 12.911825)"
