S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,,,,,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire ( Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,G-8,3W,Tension,DD+3,31,-,-,4.5,297,-,12.91913333,78.83231111,,,,,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83231111111111 12.919133333333333, 78.83081666666666 12.919130555555554)"
2,P-7,,Tension,DB+0,24,P-4-P-3,170,1.2,300,"5°34’51.25""RT",12.91913056,78.83081667,,,,,GOOD,GOOD,-,CTR,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83081666666666 12.919130555555554, 78.827775 12.919466666666667)"
3,P-6,,Suspension,DA+0,26,P-3-P-2,334,2,303,,12.91946667,78.827775,,,,,GOOD,GOOD,HT,CTR,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.827775 12.919466666666667, 78.82500833333333 12.919758333333332)"
4,P-5,,Tension,DB+0,24,P-2-P-1,306,3.1,304,"0°41’52.73""LT",12.91975833,78.82500833,,,,,GOOD,GOOD,LT,CTR,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.82500833333333 12.919758333333332, 78.82203055555556 12.920094444444445)"
5,P-4,,Suspension,DA+0,26,P-1-Paravakkal Gantry,333,2.5,311,,12.92009444,78.82203056,,,,,GOOD,GOOD,-,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.82203055555556 12.920094444444445, 78.81914444444445 12.920405555555554)"
6,P-3,,Suspension,DA+0,26,Paravakkal Gantry-,319,5.1,314,,12.92040556,78.81914444,,,,,GOOD,GOOD,HT,CTR,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.81914444444445 12.920405555555554, 78.81626666666666 12.920733333333333)"
7,P-2,,Tension,DB+0,24,-,316,4.7,320,"9°12’20.75""RT",12.92073333,78.81626667,,,,,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.81626666666666 12.920733333333333, 78.81389166666666 12.921436111111111)"
8,P-1,,Tension,DD+0,28,-,274,6.1,317,1°13’2.63”RT,12.92143611,78.81389167,,,,,GOOD,GOOD,LT,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.81389166666666 12.921436111111111, 78.8136611111111 12.921508333333334)"
9,Paravakkal Gantry,2W,,Gantry,15,-,33,-,322,,12.92150833,78.81366111,2W,,,,GOOD,NO E/W,-,Road,Plain,No Peak Available on Gantry,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
