S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire ( Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,17,3W,Tension,DD+6,34,-,-,5.8,383,,12.80793889,78.74072222,GOOD,-,-,-,Hilly,Tower of Ambur-Somalapuram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.74183333333333 12.808058333333333, 78.74207222222222 12.808097222222223)"
2,17,,Tension,SB+3,27,17-17,150,0.7,394,,12.80809722,78.74207222,GOOD,NO E/W,-,-,Hilly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.74207222222222 12.808097222222223, 78.74300555555556 12.809983333333333)"
3,18,,Tension,SD+3,31,17-18,239,5.1,379,31°26’47.67”RT,12.80998333,78.74300556,GOOD,GOOD,-,-,Hilly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.74300555555556 12.809983333333333, 78.74394722222222 12.810569444444445)"
4,19,,Tension,SB+3,27,18-19,124,1.2,363,0°51’3.71”RT,12.81056944,78.74394722,GOOD,GOOD,-,-,Hilly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.74394722222222 12.810569444444445, 78.74656666666667 12.812236111111112)"
5,20,,Tension,SB+3,27,19-20,342,3.4,316,0°54’29.17”RT,12.81223611,78.74656667,GOOD,GOOD,-,CTR,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.74656666666667 12.812236111111112, 78.74834166666666 12.813408333333333)"
6,21,,Suspension,SA+3,29,20-21,240,2.1,322,,12.81340833,78.74834167,GOOD,GOOD,HT,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.74834166666666 12.813408333333333, 78.75011944444445 12.814552777777779)"
7,22,,Tension,SB+0,24,21-22,236,0.8,322,"13°17’38.59""LT",12.81455278,78.75011944,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.75011944444445 12.814552777777779, 78.75212777777777 12.81661388888889)"
8,23,,Tension,SB+0,24,22-23,321,0.5,359,"0°25’13.09""LT",12.81661389,78.75212778,GOOD,GOOD,LT,Canal,Hilly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.75212777777777 12.81661388888889, 78.75293055555555 12.817497222222222)"
9,24,,Tension,SB+3,27,23-24,137,1.5,380,"1°5’44.61""LT",12.81749722,78.75293056,GOOD,GOOD,-,-,Hilly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.75293055555555 12.817497222222222, 78.75375 12.818425)"
10,25,,Tension,SC+3,29,24-25,141,1.4,378,21°55’56.68”RT,12.818425,78.75375,GOOD,GOOD,-,-,Hilly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.75375 12.818425, 78.75669444444445 12.819825)"
