S. No,Tower No,Supspension/Tension,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Long.,Lat.,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earth wire (Missing,Broken etc)",Power Line,"Rail,TAAR ROAD,River",Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,T.NO 44A/1 LILO ICHIPUDUR,T,DC,26,,,,96,,79.62791666666666,13.10688888888889,GOOD,GOOD,,,PLAIN,ICHIPUDUR LILO NEED JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62791666666666 13.10688888888889, 79.62672222222221 13.106444444444444)"
2,T.NO  45,S,DA,26,44A/1-45,141,3.53,102,,79.62672222222221,13.106444444444444,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62672222222221 13.106444444444444, 79.62427777777778 13.105638888888889)"
3,T.NO  46,S,DA,26,45-46,279,4.58,99,,79.62427777777778,13.105638888888889,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62427777777778 13.105638888888889, 79.62225 13.104972222222221)"
4,T.NO  47,T,DC,26,46-47,235,5.16,99,"16°36'52""",79.62225,13.104972222222221,GOOD,GOOD,3nos LT,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62225 13.104972222222221, 79.61999999999999 13.104888888888889)"
5,T.NO  48,S,DA,26,47-48,245,6.5,96,,79.61999999999999,13.104888888888889,GOOD,GOOD,LT,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.61999999999999 13.104888888888889, 79.61769444444444 13.104805555555556)"
6,T.NO  49,S,DA,26,48-49,251,5.75,97,,79.61769444444444,13.104805555555556,GOOD,GOOD,,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.61769444444444 13.104805555555556, 79.61558333333333 13.104722222222222)"
7,T.NO  50,T,DB,24,49-50,229,4.18,97,"6°28'33""",79.61558333333333,13.104722222222222,GOOD,GOOD,2nos LT,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.61558333333333 13.104722222222222, 79.61330555555556 13.104416666666665)"
8,T.NO  51,S,DA,26,50-51,249,5.17,98,,79.61330555555556,13.104416666666665,GOOD,GOOD,LT,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.61330555555556 13.104416666666665, 79.61105555555555 13.104055555555556)"
9,T.NO  52,S,DA,26,51-52,249,5.87,96,,79.61105555555555,13.104055555555556,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.61105555555555 13.104055555555556, 79.60872222222221 13.103694444444445)"
10,T.NO  53,S,DA,26,52-53,257,4.89,97,,79.60872222222221,13.103694444444445,GOOD,GOOD,LT,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.60872222222221 13.103694444444445, 79.60755555555555 13.1035)"
11,T.NO  54,S,DA,26,53-54,129,6.15,98,,79.60755555555555,13.1035,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.60755555555555 13.1035, 79.60627777777778 13.103277777777777)"
12,T.NO  55,S,DA,26,54-55,143,3.23,100,,79.60627777777778,13.103277777777777,GOOD,GOOD,HT,"TAAR ROAD,MUD ROAD",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.60627777777778 13.103277777777777, 79.60463888888889 13.103083333333332)"
13,T.NO  56,T,DB,24,55-56,180,4.1,100,"0°50'22""",79.60463888888889,13.103083333333332,GOOD,GOOD,,POND,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.60463888888889 13.103083333333332, 79.60172222222222 13.102722222222221)"
14,T.NO  57,S,DA,26,56-57,320,4.44,101,,79.60172222222222,13.102722222222221,GOOD,GOOD,,POND,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.60172222222222 13.102722222222221, 79.59952777777778 13.102416666666667)"
15,T.NO  58,S,DA,26,57-58,242,2.35,101,,79.59952777777778,13.102416666666667,GOOD,GOOD,LT,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.59952777777778 13.102416666666667, 79.597 13.102055555555555)"
16,T.NO  59,S,DA,26,58-59,276,4.2,104,,79.597,13.102055555555555,GOOD,GOOD,3nos LT,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.597 13.102055555555555, 79.59511111111111 13.101805555555556)"
17,T.NO  60,T,DB,24,59-60,210,6.32,104,"3°38'51""",79.59511111111111,13.101805555555556,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.59511111111111 13.101805555555556, 79.59261111111111 13.101333333333333)"
18,T.NO  61,S,DA,26,60-61,277,6.18,106,,79.59261111111111,13.101333333333333,GOOD,GOOD,,CANAL,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.59261111111111 13.101333333333333, 79.59011111111111 13.100805555555555)"
19,T.NO  62,T,DD,28,61-62,277,5.26,105,"55°39'26""",79.59011111111111,13.100805555555555,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.59011111111111 13.100805555555555, 79.5895 13.099361111111111)"
