S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Longitude,Latitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,GANTRY 230KV ARANI  SS,T,GT,15,,,,157,,79.27391666666666,12.649194444444444,GOOD,MISSING,,,S.S,NO EARTH WIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.27391666666666 12.649194444444444, 79.27352777777777 12.649)"
2,T.NO 1,T,DD,28,GT-1,46.52956049652737,6.75,156,"54°2'18""",79.27352777777777,12.649,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.27352777777777 12.649, 79.27297222222222 12.64925)"
3,T.NO 2,T,DD,28,1-2,68.87670143089025,4.98,157,"77°44'58""",79.27297222222222,12.64925,GOOD,GOOD,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.27297222222222 12.64925, 79.27302777777777 12.649527777777777)"
4,T.NO 3,DP,DP,15,2-3,29.832867780352597,,157,,79.27302777777777,12.649527777777777,GOOD,GOOD,230KV DC LINE CROSSING,,PLAIN,230KV DC LINE CROSSING ABOVE OUR LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.27302777777777 12.649527777777777, 79.27291666666666 12.649805555555556)"
5,T.NO 4,DP,DP,15,3-4,32.89376840679705,,157,,79.27291666666666,12.649805555555556,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.27291666666666 12.649805555555556, 79.27302777777777 12.650083333333333)"
6,T.NO 5,T,DB,24,4-5,32.57299494980466,4.45,158,"13°26'38""",79.27302777777777,12.650083333333333,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.27302777777777 12.650083333333333, 79.27230555555555 12.652722222222222)"
7,T.NO 6,S,DA,26,5-6,302.2002647252315,6.18,159,,79.27230555555555,12.652722222222222,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.27230555555555 12.652722222222222, 79.27155555555555 12.655472222222222)"
8,T.NO 7,S,DA,26,6-7,315.3173005085512,4.82,158,,79.27155555555555,12.655472222222222,GOOD,GOOD,,MUDROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.27155555555555 12.655472222222222, 79.27083333333333 12.658138888888889)"
9,T.NO 8,S,DA,26,7-8,304.8835843399903,16.04,159,,79.27083333333333,12.658138888888889,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.27083333333333 12.658138888888889, 79.27016666666667 12.660694444444445)"
10,T.NO 9,S,DA,26,8-9,292.9846412356798,7.25,160,,79.27016666666667,12.660694444444445,GOOD,GOOD,LT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.27016666666667 12.660694444444445, 79.26958333333333 12.662888888888888)"
11,T.NO 10,T,DB,24,9-10,251.5094431626773,5.23,161,"4°57'44""",79.26958333333333,12.662888888888888,GOOD,GOOD,LT,,PLAIN,EARTH WIRE CONTINUE TO T.NO-1 FROM THIS TOWER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.26958333333333 12.662888888888888, 79.26894444444444 12.664611111111112)"
12,LILO ARANI 110KV T.NO 1 ,T,DC,26,10-1,202.41047403728888,15.82,164,"20°8'27""",79.26894444444444,12.664611111111112,GOOD,GOOD,"LT,3NOS HT",CEMENT ROAD,PLAIN,ARANI 110KV LILO NEED 3WAY JUNCTION BOX ON LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.26894444444444 12.664611111111112, 79.26897222222222 12.666527777777778)"
13,T.NO 2 ,T,DD,28,1-2,212.02122535255756,8.05,165,"59°3'5""",79.26897222222222,12.666527777777778,GOOD,GOOD,2NOS HT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.26897222222222 12.666527777777778, 79.26702777777777 12.667694444444443)"
14,T.NO 3,T,DB,24,2-3,246.9817807045694,4.6,163,"9°20'55""",79.26702777777777,12.667694444444443,GOOD,GOOD,,2NOS CEMENT ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.26702777777777 12.667694444444443, 79.26527777777778 12.669194444444443)"
15,T.NO 4,S,DA,26,3-4,251.6445906432324,3.78,159,,79.26527777777778,12.669194444444443,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.26527777777778 12.669194444444443, 79.26336111111111 12.670777777777777)"
16,T.NO 5,S,DA,26,4-5,271.4940146669904,4.38,157,,79.26336111111111,12.670777777777777,GOOD,GOOD,LT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.26336111111111 12.670777777777777, 79.26138888888889 12.672472222222222)"
17,T.NO 6,S,DA,26,5-6,286.174771774173,,158,,79.26138888888889,12.672472222222222,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.26138888888889 12.672472222222222, 79.25869444444444 12.67475)"
18,T.NO 7,S,DA,26,6-7,384.94804844290354,6.24,155,,79.25869444444444,12.67475,GOOD,GOOD,HT,CEMENT ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.25869444444444 12.67475, 79.25736111111111 12.67586111111111)"
19,T.NO 8,T,DB,24,7-8,191.34262462922368,17.8,156,"13°24'16""",79.25736111111111,12.67586111111111,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.25736111111111 12.67586111111111, 79.25591666666666 12.677805555555555)"
20,T.NO 9,T,DB,24,8-9,265.2772134956186,3.25,160,"11°0'11""",79.25591666666666,12.677805555555555,GOOD,GOOD,LT,"ROAD,RIVER",AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.25591666666666 12.677805555555555, 79.25411111111111 12.679472222222222)"
21,T.NO 10,S,DA,26,9-10,268.1510768205118,4.08,162,,79.25411111111111,12.679472222222222,GOOD,GOOD,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.25411111111111 12.679472222222222, 79.25222222222222 12.681222222222221)"
22,T.NO 11,S,DA,26,10-11,282.8992753613908,5.35,163,,79.25222222222222,12.681222222222221,GOOD,GOOD,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.25222222222222 12.681222222222221, 79.2503611111111 12.682944444444443)"
