S.No,Tower No.,JOIN BOX,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Longitude,Latitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,GT  230KV GDP SS,2W,T,GT,15,,,,26,,80.10325,13.40397222,GOOD,MISSING,,,PLAIN,230KV GDP SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.10324999999999 13.403972222222222, 80.10330555555555 13.404194444444444)"
2,T.NO 1,,T,DD,28,GT-1,23.53720459,3.15,25,"107°27'10""",80.10330556,13.40419444,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.10330555555555 13.404194444444444, 80.10491666666667 13.404194444444444)"
3,T.NO 2,,T,SD,28,01-????????,176.0028409,3.24,19,"97°12'26""",80.10491667,13.40419444,GOOD,GOOD,HT-2,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.10491666666667 13.404194444444444, 80.10477777777777 13.402194444444445)"
4,T.NO 3,,T,SD,28,02-??????,220.5107707,3.31,23,"37°47'38""",80.10477778,13.40219444,GOOD,GOOD,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.10477777777777 13.402194444444445, 80.10538888888888 13.401277777777779)"
5,T.NO 4,,T,SD,28,03-??????,122.3315168,3.17,27,"34°36'43""",80.10538889,13.40127778,GOOD,GOOD,"HT,LT","ROAD,MUD ROAD",CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.10538888888888 13.401277777777779, 80.10722222222222 13.400527777777778)"
6,T.NO 5,,T,SB,24,04-??,213.9275578,2.96,27,"11°24'48""",80.10722222,13.40052778,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.10722222222222 13.400527777777778, 80.10830555555555 13.399805555555556)"
7,T.NO 6,,T,SB,24,05-????,142.3024947,3.21,21,"2°50'52""",80.10830556,13.39980556,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.10830555555555 13.399805555555556, 80.11041666666667 13.398388888888888)"
8,T.NO 7,,S,SA,26,06-????,277.1461708,3.68,20,,80.11041667,13.39838889,GOOD,GOOD,,,PLAIN,,,Proposed for Diamond crossing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.11041666666667 13.398388888888888, 80.11247222222222 13.396972222222221)"
9,T.NO 8,,S,SA,26,07-??????,271.5768768,3.68,22,,80.11247222,13.39697222,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.11247222222222 13.396972222222221, 80.11444444444444 13.395638888888888)"
10,T.NO 9,,S,SA,26,08-??????????,260.5167941,,21,,80.11444444,13.39563889,GOOD,GOOD,LT-1,ROAD,"WATER LOGGED,CULTIVACTION LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.11444444444444 13.395638888888888, 80.11672222222222 13.394083333333333)"
11,T.NO 10,,S,SA,26,09-????????,298.5297305,3.72,18,,80.11672222,13.39408333,GOOD,GOOD,"HT,LT",ROAD-2,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.11672222222222 13.394083333333333, 80.11872222222222 13.392694444444444)"
12,T.NO 11,,S,SA,26,10-???????,267.4864483,3.61,18,,80.11872222,13.39269444,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.11872222222222 13.392694444444444, 80.12019444444444 13.391722222222223)"
13,T.NO 12,,S,SA,26,11-????????,190.5597019,3.57,18,,80.12019444,13.39172222,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.12019444444444 13.391722222222223, 80.12144444444444 13.390833333333333)"
14,T.NO 13,,T,SB,24,????????-13,168.2171216,3.59,20,"5°17'15""",80.12144444,13.39083333,GOOD,GOOD,LT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.12144444444444 13.390833333333333, 80.12316666666666 13.389444444444443)"
15,T.NO 14,,S,SA,26,13-14,242.8868049,3.63,14,,80.12316667,13.38944444,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.12316666666666 13.389444444444443, 80.12483333333333 13.388055555555555)"
16,T.NO 15,,S,SB,24,14-15,236.8881593,3.21,13,"12°2'57""",80.12483333,13.38805556,GOOD,GOOD,LT-2,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.12483333333333 13.388055555555555, 80.12616666666666 13.386777777777777)"
17,T.NO 16,,T,SC,26,15-16,200.8382434,3.73,11,"21°48'41""",80.12616667,13.38677778,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.12616666666666 13.386777777777777, 80.1265 13.386666666666667)"
18,T.NO 17,2W,T,SD,28,16-17,38.62641583,3.81,10,"61°51'25""",80.1265,13.38666667,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1265 13.386666666666667, 80.12708333333333 13.386444444444445)"
19,T.NO 18,,S,SA,26,17-18,66.85057965,3.62,11,,80.12708333,13.38644444,GOOD,GOOD,110KV,,PLAIN,110KV CROSSING BELOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.12708333333333 13.386444444444445, 80.12797222222221 13.384222222222222)"
20,T.NO 19,,S,SA,26,18-19,263.1368465,3.96,6,,80.12797222,13.38422222,GOOD,GOOD,LT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.12797222222221 13.384222222222222, 80.1288611111111 13.381805555555555)"
21,T.NO 20,,S,SA,26,19-20,284.3395857,3.78,13,,80.12886111,13.38180556,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1288611111111 13.381805555555555, 80.1295 13.38011111111111)"
22,T.NO 21,,S,SA,26,20-21,199.3238571,3.82,11,,80.1295,13.38011111,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1295 13.38011111111111, 80.13016666666665 13.378333333333334)"
