S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Longitude,Latitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,T.NO 31 MELUR LILO,T,DD,28,,,5.16,8,"90°16'35""",80.2291388888889,13.212722222222222,GOOD,GOOD,,,CULTIVACTION LAND,MELUR LILO NEED 3WAY JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.2291388888889 13.212722222222222, 80.22816666666667 13.21336111111111)"
2,T.NO 32 LILO PANJETTY  ,T,DC,26,31-32,118.46096403457132,5.45,22,,80.22816666666667,13.21336111111111,GOOD,MISSING,,,PLAIN,PANJETTY LILO NEED 3WAY JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.22816666666667 13.21336111111111, 80.22730555555556 13.214055555555555)"
3,T.NO 33,S,DA,26,32-33,123.43419299367578,6.12,10,,80.22730555555556,13.214055555555555,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.22730555555556 13.214055555555555, 80.22544444444445 13.215444444444444)"
4,T.NO 34,S,DA,26,33-34,251.20509548972132,6.58,10,,80.22544444444445,13.215444444444444,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.22544444444445 13.215444444444444, 80.22327777777778 13.217027777777778)"
5,T.NO 35,S,DA,26,34-35,294.00680264238787,5.96,9,,80.22327777777778,13.217027777777778,GOOD,GOOD,LT,ROAD,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.22327777777778 13.217027777777778, 80.22163888888889 13.218277777777779)"
6,T.NO 36,S,DA,26,35-36,223.8258251408894,5.12,10,,80.22163888888889,13.218277777777779,GOOD,GOOD,HT-2,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.22163888888889 13.218277777777779, 80.2196388888889 13.21975)"
7,T.NO 37,S,DA,26,36-37,273.60007309940545,6.38,13,,80.2196388888889,13.21975,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.2196388888889 13.21975, 80.21786111111112 13.221083333333333)"
8,T.NO 38,T,DD,28,37-38,240.84019598065436,5.26,12,"44°19'25""",80.21786111111112,13.221083333333333,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.21786111111112 13.221083333333333, 80.21755555555556 13.22338888888889)"
9,T.NO 39,S,DA,26,38-39,258.11818998280614,5.38,14,,80.21755555555556,13.22338888888889,GOOD,GOOD,LT,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.21755555555556 13.22338888888889, 80.21725 13.225277777777778)"
10,T.NO 40,S,DA,26,39-40,211.43556938225885,6.35,14,,80.21725,13.225277777777778,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.21725 13.225277777777778, 80.217 13.227027777777778)"
11,T.NO 41,S,DA,26,40-41,195.73451407454945,6.47,13,,80.217,13.227027777777778,GOOD,GOOD,,ROAD,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.217 13.227027777777778, 80.21680555555555 13.228388888888889)"
12,T.NO 42,T,DB,24,41-42,149.77650015940418,6.86,17,"13°52'34""",80.21680555555555,13.228388888888889,GOOD,GOOD,HT,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.21680555555555 13.228388888888889, 80.21613888888889 13.229916666666666)"
