S.No,Tower No.,JOINT BOX,Tower Suspension / Tension,Tower Type (DC /SC ),Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Longitude,Latitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,Gantry ( 230KV GPD SS ),2W,T,GT,15,,,,21,,80.10330556,13.40391667,GOOD,,,,PLAIN,230KV GDP SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.10330555555555 13.403916666666667, 80.10338888888889 13.404472222222223)"
2,T.NO 1,,T,DD,28,GT-1,60.8276253,3.13,17,"84°1'58""",80.10338889,13.40447222,GOOD,MISSING,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.10338888888889 13.404472222222223, 80.10566666666666 13.404361111111111)"
3,T.NO 2,,S,DA,26,01-????????,245.3446555,,16,,80.10566667,13.40436111,GOOD,GOOD,HT,ROAD,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.10566666666666 13.404361111111111, 80.10838888888888 13.404111111111112)"
4,T.NO 3,,S,DA,26,02-??????,297.228868,,18,,80.10838889,13.40411111,GOOD,GOOD,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.10838888888888 13.404111111111112, 80.1111111111111 13.404027777777777)"
5,T.NO 4,,T,DD,28,03-??????,294.2057103,3.65,20,"31°25'8""",80.11111111,13.40402778,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1111111111111 13.404027777777777, 80.11274999999999 13.404722222222222)"
6,T.NO 5,,S,DA,26,04-??,193.5458602,3.12,17,,80.11275,13.40472222,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.11274999999999 13.404722222222222, 80.1138611111111 13.405472222222222)"
7,T.NO 6,,T,DD,28,05-????,147.5567687,,18,"65°41'25""",80.11386111,13.40547222,GOOD,GOOD,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1138611111111 13.405472222222222, 80.11375 13.407861111111112)"
8,T.NO 7,,S,DA,26,06-????,263.2299375,3.91,17,,80.11375,13.40786111,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.11375 13.407861111111112, 80.11358333333332 13.409777777777778)"
9,T.NO 8,,T,DC,26,07-??????,212.8497122,3.72,17,"26°38'22""",80.11358333,13.40977778,GOOD,GOOD,HT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.11358333333332 13.409777777777778, 80.11372222222222 13.41013888888889)"
10,Gantry ( 110KV SIPCOT-I SS ),2W,T,GT,15,8-GT,43.46262762,,15,,80.11372222,13.41013889,GOOD,MISSING,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note : 1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
