S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type (DC /SC ),Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,Gantry ( Gummudipoondi SS ),2W,T,H-POLE,15,,,-,31.571323,,13.40406898,80.10273096,GOOD,,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1027309615165 13.4040689840912, 80.1027110125869 13.4042740054428)"
2,1,,T,DC,28,Gantry  - 1,25.27854361,1.5,30.628305,115°58'16''LT,13.40427401,80.10271101,GOOD,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1027110125869 13.4042740054428, 80.1022660173475 13.4040079638361)"
3, X - 230kV,,T,DC,28,1 -  X - 230kV,58.95665178,1.79,30.499187,47°31'6''RT,13.40400796,80.10226602,GOOD,NO E/W,"110KV, 230KV",,PLAIN,"DOWN LINE, UPLINE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1022660173475 13.4040079638361, 80.1020889915525 13.4040580037981)"
4,2,,T,DC,28, X - 230kV - 2,22.45067248,0.28,31.067522,97°9'13''LT,13.404058,80.10208899,GOOD,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1020889915525 13.4040580037981, 80.1018080301582 13.4023119695484)"
5,3,,T,DC,28,02-??????,197.9974648,1.1,31.76918,81°57'48''RT,13.40231197,80.10180803,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1018080301582 13.4023119695484, 80.0986720249056 13.402361003682)"
6,4,,T,DC,28,03-??????,342.0997103,2.09,33.295628,74°31'19''LT,13.402361,80.09867202,GOOD,AVAILABLE,HT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0986720249056 13.402361003682, 80.0979309808462 13.3998949639499)"
7,5,,S,SC,25,04-??,286.8081877,1.93,29.328766,,13.39989496,80.09793098,GOOD,AVAILABLE,230KV,ROAD,PLAIN,UP LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0979309808462 13.3998949639499, 80.0972040183842 13.3977419883012)"
8,6,,S,SC,25,05-????,253.2976449,0.11,28.634319,,13.39774199,80.09720402,GOOD,AVAILABLE,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0972040183842 13.3977419883012, 80.0965540017932 13.3956930320709)"
9,7,,S,SC,25,06-????,239.7983769,1.07,26.477699,,13.39569303,80.096554,GOOD,AVAILABLE,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0965540017932 13.3956930320709, 80.0959100201725 13.3936490211635)"
10,8,,T,SC,25,07-??????,239.0828349,3.01,27.613287,154°27'51''RT,13.39364902,80.09591002,GOOD,AVAILABLE,,CANAL,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0959100201725 13.3936490211635, 80.0963029637932 13.3910419978201)"
11,9,,S,SC,25,08-??????????,293.9662309,2.77,28.276342,,13.391042,80.09630296,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0963029637932 13.3910419978201, 80.0966310314834 13.3882519975304)"
12,10,,T,SC,25,09-????????,313.1195699,0.65,26.450405,130°12'6''LT,13.388252,80.09663103,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0966310314834 13.3882519975304, 80.0961250159889 13.387725027278)"
13,11,,T,SC,25,10-???????,82.49584818,1.75,28.518084,124°19'27''RT,13.38772503,80.09612502,GOOD,AVAILABLE,"LT, HT",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0961250159889 13.387725027278, 80.0967160239815 13.3851030003279)"
14,12,,S,SC,25,11-????????,299.4804867,2.13,26.683537,,13.385103,80.09671602,GOOD,AVAILABLE,"LT -2, HT",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0967160239815 13.3851030003279, 80.0973630230873 13.3825359586626)"
15,13,,S,SC,25,????????-13,294.9378482,0.62,26.204212,,13.38253596,80.09736302,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0973630230873 13.3825359586626, 80.0979729741811 13.3799639716744)"
16,14,,S,SC,25,13 - 14,294.5355835,2.58,25.664228,,13.37996397,80.09797297,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0979729741811 13.3799639716744, 80.0986099988222 13.3774710260331)"
17,15,2W,T,SC,25,14 - 15,286.7241577,1.47,26.248001,141°0'58''LT,13.37747103,80.09861,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0986099988222 13.3774710260331, 80.0975200161337 13.3751759771257)"
