S.No,Tower No.,JOINT BOX,Tower Suspension / Tension,Tower Type (DC /SC ),Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1, Gantry (Thirumudivakkam SS),2W,T,H-POLE,15,,,,30.196161,,12.97319499,80.08606397,GOOD,,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.086063966155 12.9731949884444, 80.0859359744936 12.9731509834527)"
2,120,,T,DC,26,GANTRY - 120,14.43035897,5.22,29.806852,46°22'58''LT,12.97315098,80.08593597,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0859359744936 12.9731509834527, 80.0857334677129 12.9732833337038)"
3,121,,T,DC,45,124- 125,31.39572502,4.1,28.825462,81°50'14''LT,12.97328333,80.08573347,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0857334677129 12.9732833337038, 80.085545964539 12.9730779770761)"
4,122,,T,DC,26,125- 126,35.4872823,4.02,30.147993,41°38'19''LT,12.97307798,80.08554596,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.085545964539 12.9730779770761, 80.0855390075594 12.9711649753153)"
5,123,,S,DC,28,126- 127,216.578305,3.2,30.486391,,12.97116498,80.08553901,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0855390075594 12.9711649753153, 80.0855570286512 12.9681479930877)"
6,124,,T,DC,26,127- 128,338.6822641,2.43,28.79071,162°31'6''LT,12.96814799,80.08555703,GOOD,AVAILABLE,,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0855570286512 12.9681479930877, 80.084612974897 12.9651470202952)"
7,125,,S,DC,28,128- 129,352.3433322,1.69,28.461922,,12.96514702,80.08461297,GOOD,AVAILABLE,"LT, HT","ROAD, CANAL",AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.084612974897 12.9651470202952, 80.0841890182346 12.9636299796402)"
8,126,,T,DC,26,129- 130,178.9717794,4.01,27.336956,123°45'17''RT,12.96362998,80.08418902,GOOD,AVAILABLE,HT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0841890182346 12.9636299796402, 80.0851930025964 12.9624939803034)"
9,127,,S,DC,28,130- 131,171.269186,1.51,28.922617,,12.96249398,80.085193,GOOD,AVAILABLE,"HT, LT",ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0851930025964 12.9624939803034, 80.0863539800047 12.9611790273338)"
10,128,,T,DC,26,131- 132,197.3791628,3.71,28.266361,49°55'35''LT,12.96117903,80.08635398,GOOD,AVAILABLE,HT -2NO,MUD ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0863539800047 12.9611790273338, 80.0893619935959 12.9612210206687)"
