S.No,Tower No.,Tower Suspension / Tension,Tower Type (DC /SC ),Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,GANTRY ( Chembarambakkam SS ),T,H-POLE,15,,,,35.2019579999999,,13.040362028405,80.0670650415122,GOOD,,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0670650415122 13.040362028405, 80.0670747645199 13.0404552351683)"
2,81,T,DC,26,GANTRY - 81,16.86249890714288,4.27,35.9135279999999,34°23'1''RT,13.0404552351683,80.0670747645199,GOOD,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0670747645199 13.0404552351683, 80.0675940234214 13.0394960101693)"
3,82,T,DC,26,"=B7& "" - ""&B8",126.60732660832255,2.23,36.9577329999999,24°22'14''RT,13.0394960101693,80.0675940234214,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0675940234214 13.0394960101693, 80.0694699771702 13.0380720086395)"
4,83,T,DC,26,"=B8& "" - ""&B9",263.7673956874717,1.8,35.8699799999999,16°8'38''LT,13.0380720086395,80.0694699771702,GOOD,AVAILABLE,HT -3NO,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0694699771702 13.0380720086395, 80.070878136903 13.0361797101795)"
5,84,T,DC,26,"=B9& "" - ""&B10",265.5733018001639,-,36,3°53'53''RT,13.0361797101795,80.070878136903,GOOD,AVAILABLE,HT,CANAL,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.070878136903 13.0361797101795, 80.0719426386058 13.0349356681108)"
6,85,T,DC,26,"=B10& "" - ""&B11",186.10082274173496,-,35,20°34'50''LT,13.0349356681108,80.0719426386058,GOOD,AVAILABLE,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0719426386058 13.0349356681108, 80.0723684392869 13.0337640456855)"
7,86,S,DC,28,"=B11& "" - ""&B12",144.0626655976561,-,29.1125639999999,,13.0337640456855,80.0723684392869,GOOD,AVAILABLE,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0723684392869 13.0337640456855, 80.0731770414859 13.0317770317196)"
8,87,S,DC,28,"=B12& "" - ""&B13",243.11177105860656,-,27.825344,,13.0317770317196,80.0731770414859,GOOD,AVAILABLE,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0731770414859 13.0317770317196, 80.0738360267132 13.0298669636249)"
9,88,S,DC,28,"=B13& "" - ""&B14",229.51351435463997,-,35.114235,,13.0298669636249,80.0738360267132,GOOD,AVAILABLE,HT,ROAD,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0738360267132 13.0298669636249, 80.0744710396975 13.028241964057)"
10,89,T,DC,26,"=B14& "" - ""&B15",198.96617000784772,-,33.423634,1°2'12''RT,13.028241964057,80.0744710396975,GOOD,AVAILABLE,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0744710396975 13.028241964057, 80.0750639755278 13.0268020369112)"
11,90,S,DC,28,"=B15& "" - ""&B16",178.24695293860444,-,30.690372,,13.0268020369112,80.0750639755278,GOOD,AVAILABLE,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0750639755278 13.0268020369112, 80.0758370384573 13.0249000154435)"
12,91,T,DC,26,"=B16& "" - ""&B17",232.95329657447533,-,32.5630189999999,2°7'43''RT,13.0249000154435,80.0758370384573,GOOD,AVAILABLE,,CANAL,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0758370384573 13.0249000154435, 80.0767060741782 13.0229705851525)"
