S. No ,Tower No,"Joint Box
",Supspension/Tension,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,,,,,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earth wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,T.NO 27 LILO 110KV AYYAMPAKKAM SS,3W,T,DC,26,,,2.37,17,,13.07847222,80.13933333,3W,,,,GOOD,GOOD,,,PLAIN,AYYAMPAKKAM LILO  NEED JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.13933333333334 13.078472222222222, 80.13933333333334 13.078805555555554)"
2,T.NO 1,,T,DD,28,27-Jan,36.01388621,3.07,19,"42°47'27""",13.07880556,80.13933333,,,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.13933333333334 13.078805555555554, 80.13791666666667 13.080527777777778)"
3,T.NO 2,,S,DA,26,01-Feb,243.318721,1.76,16,,13.08052778,80.13791667,,,,,GOOD,GOOD,LT 1,ROAD 2,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.13791666666667 13.080527777777778, 80.13691666666668 13.081472222222223)"
4,T.NO 3,,T,DD,28,02-Mar,152.0296024,1.16,23,"65°9'43""",13.08147222,80.13691667,,,,,GOOD,GOOD,,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.13691666666668 13.081472222222223, 80.13702777777779 13.081722222222222)"
5,DP1,,T,DP,15,3-DP1,29.54657341,,20,,13.08172222,80.13702778,,,,,GOOD,GOOD,,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.13702777777779 13.081722222222222, 80.13722222222223 13.081888888888889)"
6,DP2,,T,DP,15,DP1-DP2,27.01851217,,19,,13.08188889,80.13722222,,,,,GOOD,MISSING,110KV CROSSING ABOVE,,PLAIN,SRIPERUMPUDHUR - KOYEMPEDU,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.13722222222223 13.081888888888889, 80.13744444444445 13.082055555555556)"
7,T.NO 4,,T,DD,28,DP2-4,29.06888371,2.36,19,"82°1'42""",13.08205556,80.13744444,,,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.13744444444445 13.082055555555556, 80.13616666666667 13.084055555555556)"
8,T.NO 5,,S,DA,26,04-May,261.3962509,1.73,18,,13.08405556,80.13616667,,,,,GOOD,GOOD,,"MUD ROAD,LAKE ",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.13616666666667 13.084055555555556, 80.13469444444445 13.086222222222222)"
9,T.NO 6,,S,DA,26,05-Jun,288.1752939,3.07,19,,13.08622222,80.13469444,,,,,GOOD,GOOD,LT 1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.13469444444445 13.086222222222222, 80.13375 13.087611111111112)"
10,T.NO 7,,T,DD,28,06-Jul,182.4965753,,21,"35°11'13""",13.08761111,80.13375,,,,,GOOD,GOOD,LT 1,"ROAD 1,POND",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.13375 13.087611111111112, 80.13213888888889 13.08825)"
11,T.NO 8,,T,DD,28,07-Aug,189.7814533,2.61,22,"88°46'19""",13.08825,80.13213889,,,,,GOOD,GOOD,LT 1,"ROAD 1,POND",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.13213888888889 13.08825, 80.13272222222221 13.089777777777778)"
12,T.NO 9,,T,DD,28,08-Sep,180.7124788,3.06,20,"41°29'16""",13.08977778,80.13272222,,,,,GOOD,GOOD,,ROAD 1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.13272222222221 13.089777777777778, 80.13225 13.090972222222224)"
13,T.NO 10,,T,DB,24,09-Oct,141.1523999,,17,"7°10'32""",13.09097222,80.13225,,,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.13225 13.090972222222224, 80.13219444444444 13.091222222222223)"
14,DP1,,T,DP,15,10-DP1,29.83286778,,19,,13.09122222,80.13219444,,,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.13219444444444 13.091222222222223, 80.13205555555555 13.0915)"
15,DP2,,T,DP,15,DP1-DP2,32.69556545,,20,,13.0915,80.13205556,,,,,GOOD,MISSING,230KV,BRIDGE TOWER ,PLAIN,KORATTUR - CHENNAI METRO RAIL,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.13205555555555 13.0915, 80.13188888888888 13.091722222222224)"
16,T.NO 10A,,T,DB,24,DP2-10A,33.60059523,1.89,16,"7°55'6""",13.09172222,80.13188889,,,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.13188888888888 13.091722222222224, 80.13177777777777 13.091944444444445)"
17,DP3,,T,DP,15,10A-DP3,25.05992817,,20,,13.09194444,80.13177778,,,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.13177777777777 13.091944444444445, 80.13158333333332 13.092194444444445)"
18,DP4,,T,DP,15,DP3-DP4,34.66987165,,19,,13.09219444,80.13158333,,,,,GOOD,MISSING,230KV,BRIDGE TOWER ,PLAIN,KORATTUR - SRIPERUMPUDHUR,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.13158333333332 13.092194444444445, 80.13133333333333 13.092555555555556)"
19,T.NO 11,,T,DB,24,DP4-11,47.4341649,2.55,18,"4°0'14""",13.09255556,80.13133333,,,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.13133333333333 13.092555555555556, 80.13022222222222 13.09388888888889)"
20,T.NO 12  ,,S,DA,26,11-Dec,193.3494246,2.12,14,,13.09388889,80.13022222,,,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.13022222222222 13.09388888888889, 80.12866666666666 13.095722222222223)"
21,T.NO 13,,S,DA,26,Dec-13,261.3235542,,16,,13.09572222,80.12866667,,,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.12866666666666 13.095722222222223, 80.12738888888889 13.097361111111113)"
22,T.NO 14,,T,DD,28,13-14,228.4031523,1.67,18,"39°24'0""",13.09736111,80.12738889,,,,,GOOD,GOOD,HT-1,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.12738888888889 13.097361111111113, 80.1273611111111 13.099222222222222)"
23,T.NO 15,,S,DA,26,14-15,207.0024154,,17,,13.09922222,80.12736111,,,,,GOOD,GOOD,,,LAKE,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1273611111111 13.099222222222222, 80.12738888888889 13.101611111111112)"
24,T.NO 16,,S,DA,26,15-16,265.0075471,,19,,13.10161111,80.12738889,,,,,GOOD,GOOD,,,LAKE,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.12738888888889 13.101611111111112, 80.12744444444444 13.103277777777777)"
25,T.NO 17,,T,DD,28,16-17,182.1345656,1.08,19,"62°44'3""",13.10327778,80.12744444,,,,,GOOD,GOOD,,,LAKE,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.12744444444444 13.103277777777777, 80.12872222222222 13.103916666666667)"
26,T.NO 18,,T,DB,24,17-18,156.5247584,1.09,21,"4°31'44""",13.10391667,80.12872222,,,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.12872222222222 13.103916666666667, 80.1291111111111 13.104055555555556)"
27,GT 110KV AYYAMPAKKAM SS,2W,GT,DA,26,18-GT,45.31004304,,19,,13.10405556,80.12911111,2W,,,,GOOD,MISSING,,MUD ROAD,PLAIN,110KV AYYAMPAKKAM SS,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL SPAN LENGTH,,  ,,,,,3503.059085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
