S.No,Tower No.,Joint  box,Tower Suspension / Tension,Tower Type (DC /SC ),Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,GANTRY AT KORATTUR,2W,H-POLE,H-POLE,15,,,,24,,13.09904113,80.18147836,GOOD,,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1814783550798 13.099041134119, 80.1812760997563 13.0988235399127)"
2,TN - 1,,T,DC,28,TN - 4 : TN - 5,35.5562104,4.8,24,13°52'52''LT,13.09882354,80.1812761,RUSTED,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1812760997563 13.0988235399127, 80.1794996391981 13.0976605508476)"
3,TN - 2,,T,DC,28,TN - 5 : TN - 6,234.5879449,-,27,30°38'25''RT,13.09766055,80.17949964,RUSTED,AVAILABLE,11KV,SH,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1794996391981 13.0976605508476, 80.178143614903 13.0948984622955)"
4,TN - 3,,S,DC,28,TN - 6 : TN - 7,342.0128493,-,27,,13.09489846,80.17814361,RUSTED,AVAILABLE,11KV,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.178143614903 13.0948984622955, 80.1769617665559 13.0924714822322)"
5,TN - 4,,T,DC,28,TN - 7 : TN - 8,300.4304785,-,27,9°20'30''RT,13.09247148,80.17696177,RUSTED,AVAILABLE,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1769617665559 13.0924714822322, 80.1761133503168 13.0896296817809)"
6,TN - 5,,S,DC,28,TN - 8 : TN - 9,330.4795234,2.5,28,,13.08962968,80.17611335,GOOD,AVAILABLE,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1761133503168 13.0896296817809, 80.1753112021833 13.0867608077824)"
7,TN - 6,,S,DC,28,TN - 9 : GANTRY AT NOLAMBUR,331.9932913,-,27,,13.08676081,80.1753112,GOOD,AVAILABLE,,SH,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1753112021833 13.0867608077824, 80.1744906976819 13.0838558077812)"
8,TN - 7,,T,DC,28,GANTRY AT NOLAMBUR : ,336.3740736,-,26,58°12'25''LT,13.08385581,80.1744907,RUSTED,AVAILABLE,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1744906976819 13.0838558077812, 80.171975037083 13.0831334553658)"
9,TN - 8,,S,DC,28, : ,287.19738,-,26,,13.08313346,80.17197504,GOOD,AVAILABLE,LT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.171975037083 13.0831334553658, 80.1710812747478 13.0828412622213)"
10,TN - 9,,T,DC,28, : ,105.1448866,-,27,94°17'39''RT,13.08284126,80.17108127,GOOD,AVAILABLE,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1710812747478 13.0828412622213, 80.1711370982229 13.082705810666)"
11,GANTRY AT NOLAMBUR,2W,T,DC,15, : ,19.15701632,-,27,,13.08270581,80.1711371,GOOD,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note :  1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
