S. No,Tower No,Joint Box,Supspension/Tension,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Long.,Lat.,JB Location,Earthing Location,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earth wire (Missing,Broken etc)",Power Line,"Rail,Road,River",Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,T.NO 71 LILO MOOSIVAKKAM 110kv,,T,DC,26,,,,50,,79.89175,12.60413889,Yes,,GOOD,GOOD,,,PLAIN,MOOSIVAKKAM LILO NEED JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.89175 12.604138888888889, 79.89186111111111 12.604138888888889)"
2,T.NO 1,,T,DC,26,71-1,12,5.65,50,"18°30'48""",79.89186111,12.60413889,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.89186111111111 12.604138888888889, 79.89397222222223 12.603222222222222)"
3,T.NO 2,,T,DD,28,01-Feb,252,6.95,55,"40°31'9""",79.89397222,12.60322222,,,GOOD,GOOD,"HT-1,LT-2",TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.89397222222223 12.603222222222222, 79.89461111111112 12.601944444444444)"
4,T.NO 3,,S,DA,26,02-Mar,158,7.25,57,,79.89461111,12.60194444,,,GOOD,GOOD,,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.89461111111112 12.601944444444444, 79.89522222222223 12.60075)"
5,T.NO 4,,S,DA,26,03-Apr,150,5.19,51,,79.89522222,12.60075,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.89522222222223 12.60075, 79.89591666666668 12.599277777777779)"
6,T.NO 5,,T,DB,24,04-May,180,5.82,52,"11°59'48""",79.89591667,12.59927778,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.89591666666668 12.599277777777779, 79.897 12.597916666666666)"
7,T.NO 6,,T,DB,24,05-Jun,192,6.18,52,"5°44'3""",79.897,12.59791667,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.897 12.597916666666666, 79.89800000000001 12.596388888888889)"
8,T.NO 7,,T,DD,28,06-Jul,203,4.85,50,"63°58'25""",79.898,12.59638889,,,GOOD,GOOD,"HT-2,LT-2",TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.89800000000001 12.596388888888889, 79.89852777777779 12.596444444444446)"
9,GT-110kv MOOSIVAKKAM SS,2W,T,GT,15,7-GT,58,,51,,79.89852778,12.59644444,Yes,,GOOD,MISSING,,,PLAIN,110KV MOOSIVAKKAM SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TOTAL,1206M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
