S. No ,Tower No,Supspension/Tension,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,JB Location,Earthing Location,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earth wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,GT 110KV CHEYYUR SS,T,GT,15,,,,60,,79.98375,12.368833333333335,Yes,,GOOD,MISSING,,,PLAIN,110KV CHEYYUR SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.98375 12.368833333333335, 79.98336111111111 12.369277777777778)"
2,T.NO 1,T,DD,28,GT-1,65.5368112010502,5.27,58,"91°49'10""",79.98336111111111,12.369277777777778,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.98336111111111 12.369277777777778, 79.98230555555556 12.368305555555557)"
3,T.NO 2,T,DD,28,1-2,158.136883003323,4.28,50,"72°15'35""",79.98230555555556,12.368305555555557,,,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.98230555555556 12.368305555555557, 79.9805 12.369305555555556)"
4,T.NO 3,T,DC,26,2-3,228.107903869504,5.67,49,"19°49'23""",79.9805,12.369305555555556,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9805 12.369305555555556, 79.97894444444445 12.371111111111112)"
5,T.NO 4,S,DA,26,3-4,260.146676613844,6.02,46,,79.97894444444445,12.371111111111112,,,GOOD,GOOD,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.97894444444445 12.371111111111112, 79.97752777777778 12.372722222222222)"
6,T.NO 5,T,DD,28,4-5,237.78260071213,5.83,44,"71°45'19""",79.97752777777778,12.372722222222222,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.97752777777778 12.372722222222222, 79.97488888888888 12.371611111111111)"
7,T.NO 6,S,DA,26,5-6,312.854132568417,4.32,40,,79.97488888888888,12.371611111111111,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.97488888888888 12.371611111111111, 79.97225 12.370611111111112)"
8,T.NO 7,T,DB,24,6-7,308.717402822785,3.17,39,"16°21'37""",79.97225,12.370611111111112,,,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.97225 12.370611111111112, 79.97016666666667 12.368972222222222)"
9,T.NO 8,S,DA,26,7-8,290.084762656215,4.64,41,,79.97016666666667,12.368972222222222,,,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.97016666666667 12.368972222222222, 79.96819444444445 12.367416666666667)"
10,T.NO 9,T,DC,26,8-9,276.334342209612,5.17,39,"27°39'49""",79.96819444444445,12.367416666666667,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.96819444444445 12.367416666666667, 79.96716666666667 12.365166666666667)"
