S. No ,Tower No,Joint Box,Supspension/Tension,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,JB Location,Earthing Location,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earth wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,GT 110KV ACHARAPAKKAM SS,2W,T,GT,15,,,,66,,79.81147222,12.41219444,Yes,,GOOD,MISSING,,,,110KV ACHARAPAKKAM SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.81147222222222 12.412194444444445, 79.81141666666666 12.41275)"
2,T.NO 1,,T,DD,28,GT-1,63.12889827,3.12,65,"57°1'2""",79.81141667,12.41275,,,GOOD,GOOD,,,SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.81141666666666 12.41275, 79.80991666666667 12.413583333333333)"
3,T.NO 2,,T,DB,24,01-Feb,189.0425484,6.78,65,"4°15'49""",79.80991667,12.41358333,,,GOOD,GOOD,"LT ,2nos HT",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.80991666666667 12.413583333333333, 79.8081111111111 12.41475)"
4,T.NO 3,,T,DC,26,02-Mar,236.1935373,4.38,64,"26°6'49""",79.80811111,12.41475,,,GOOD,GOOD,LT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.8081111111111 12.41475, 79.80586111111111 12.415027777777778)"
5,T.NO 4,,T,DD,28,03-Apr,248.0809584,4.61,62,"35°28'3""",79.80586111,12.41502778,,,GOOD,GOOD,HT,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.80586111111111 12.415027777777778, 79.80402777777778 12.414055555555557)"
6,T.NO 5,,S,DA,26,04-May,225.5885126,5.72,61,,79.80402778,12.41405556,,,GOOD,GOOD,,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.80402777777778 12.414055555555557, 79.8021111111111 12.413055555555555)"
7,T.NO 6,,S,DA,26,05-Jun,239.8828165,5.16,61,,79.80211111,12.41305556,,,GOOD,GOOD,LT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.8021111111111 12.413055555555555, 79.80005555555556 12.411972222222223)"
8,T.NO 7,,S,DA,26,06-Jul,254.179778,5.84,60,,79.80005556,12.41197222,,,GOOD,GOOD,,"DRAIN , POND",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.80005555555556 12.411972222222223, 79.79761111111111 12.410666666666668)"
9,T.NO 8,,T,DC,26,07-Aug,301.6476343,6.53,58,"16°29'15""",79.79761111,12.41066667,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.79761111111111 12.410666666666668, 79.79572222222222 12.408777777777779)"
10,T.NO 9,,S,DA,26,08-Sep,295.1598205,6.72,57,,79.79572222,12.40877778,,,GOOD,GOOD,"5nos LT , 2nos HT ",2nos TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.79572222222222 12.408777777777779, 79.79383333333332 12.406944444444445)"
11,T.NO 10,,S,DA,26,09-Oct,288.800278,4.96,55,,79.79383333,12.40694444,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.79383333333332 12.406944444444445, 79.79216666666666 12.40536111111111)"
12,T.NO 11,,T,DB,24,10-Nov,252.1035643,5.38,55,"11°1'30""",79.79216667,12.40536111,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.79216666666666 12.40536111111111, 79.79052777777778 12.402944444444445)"
13,T.NO 12,,S,DA,26,11-Dec,325.2252304,4.15,55,,79.79052778,12.40294444,,,GOOD,GOOD,,POND,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.79052777777778 12.402944444444445, 79.78891666666667 12.400638888888889)"
14,T.NO 13,,S,DA,26,Dec-13,309.7685217,5.63,53,,79.78891667,12.40063889,,,GOOD,GOOD,,"DRAIN,TAAR ROAD",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.78891666666667 12.400638888888889, 79.78736111111111 12.398444444444443)"
15,T.NO 14,,S,DA,26,13-14,296.9898647,6.71,51,,79.78736111,12.39844444,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.78736111111111 12.398444444444443, 79.78580555555556 12.396194444444443)"
16,T.NO 15,,S,DA,26,14-15,301.1083138,6.29,51,,79.78580556,12.39619444,,,GOOD,GOOD,,DRAIN,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.78580555555556 12.396194444444443, 79.78455555555556 12.394472222222221)"
17,T.NO 16,,S,DA,26,15-16,235.2413285,5.36,49,,79.78455556,12.39447222,,,GOOD,GOOD,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.78455555555556 12.394472222222221, 79.78302777777778 12.392222222222221)"
18,T.NO 17,,S,DA,26,16-17,298.3297832,4.81,48,,79.78302778,12.39222222,,,GOOD,GOOD,,DRAIN,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.78302777777778 12.392222222222221, 79.78152777777778 12.389972222222221)"
19,T.NO 18,2W,T,DD,28,17-18,301.0933188,5.72,46,"45°4'51""",79.78152778,12.38997222,Yes,,GOOD,GOOD,"LT , HT",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.78152777777778 12.389972222222221, 79.78163888888889 12.389388888888888)"
20,T.NO 19 DP,,T,DP,15,18-19DP,66.11528238,DP,45,,79.78163889,12.38938889,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.78163888888889 12.389388888888888, 79.78177777777778 12.388944444444444)"
21,T.NO 20 DP,,T,DP,15,19DP-20DP,52.54609588,DP,46,,79.78177778,12.38894444,,,GOOD,MISSING,110KV,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.78177777777778 12.388944444444444, 79.78186111111111 12.388555555555556)"
22,T.NO 21,,T,DB,24,20DP-21,45.55333882,3.21,46,"13°17'33""",79.78186111,12.38855556,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.78186111111111 12.388555555555556, 79.78166666666667 12.386277777777778)"
23,T.NO 22,,S,DA,26,21-22,253.8734862,5.21,46,,79.78166667,12.38627778,,,GOOD,GOOD,,,ROAD POINT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.78166666666667 12.386277777777778, 79.7815 12.383916666666666)"
24,T.NO 23,,S,DA,26,22-23,261.6223321,4.81,48,,79.7815,12.38391667,,,GOOD,GOOD,,TAAR ROAD,ROAD POINT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.7815 12.383916666666666, 79.78133333333334 12.381666666666668)"
25,T.NO 24,,S,DA,26,23-24,250.8839731,6.73,47,,79.78133333,12.38166667,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.78133333333334 12.381666666666668, 79.78119444444444 12.379305555555556)"
26,T.NO 25,,T,DD,28,24-25,262.4899616,5.32,45,"43°10'50""",79.78119444,12.37930556,,,GOOD,GOOD,"LT , HT",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.78119444444444 12.379305555555556, 79.78197222222222 12.378361111111111)"
27,T.NO 26,,T,DC,26,25-26,134.6861997,6.41,47,"18°32'6""",79.78197222,12.37836111,,,GOOD,GOOD,2nos LT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.78197222222222 12.378361111111111, 79.78455555555556 12.376777777777779)"
28,T.NO 27,,T,DB,24,26-27,331.9456149,5.71,45,"3°6'55""",79.78455556,12.37677778,,,GOOD,GOOD,"HT ,LT",TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.78455555555556 12.376777777777779, 79.7865 12.375694444444445)"
29,T.NO 28,,T,DB,24,27-28,243.243679,6.21,45,"9°28'55""",79.7865,12.37569444,,,GOOD,GOOD,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.7865 12.375694444444445, 79.78752777777778 12.374861111111112)"
30,T.NO 29,,T,DB,24,28-29,147.4923206,4.21,44,"2°22'31""",79.78752778,12.37486111,,,GOOD,GOOD,2nos HT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.78752777777778 12.374861111111112, 79.78927777777777 12.373611111111112)"
31,T.NO 30,,T,DC,26,29-30,236.2041666,3.61,44,"16°36'4""",79.78927778,12.37361111,,,GOOD,GOOD,,,CULTIVATON LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.78927777777777 12.373611111111112, 79.78994444444444 12.37275)"
32,T.NO 31,2W,T,DC,26,30-31,121,2.71,43,"26°44'40""",79.78994444,12.37275,Yes,,GOOD,GOOD,,RAILWAY,CULTIVATON LAND,NEED JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.78994444444444 12.37275, 79.79230555555556 12.371611111111111)"
33,T.NO 32,,T,DD,28,31-32,286.7708873,3.72,43,"32°8'15""",79.79230556,12.37161111,,,GOOD,GOOD,LT,,CULTIVATON LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.79230555555556 12.371611111111111, 79.79313888888889 12.370277777777778)"
34,T.NO 33,,T,DC,26,32-33,173.3629891,4.71,43,"28°6'37""",79.79313889,12.37027778,,,GOOD,GOOD,HT,,CULTIVATON LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.79313888888889 12.370277777777778, 79.79322222222223 12.368916666666667)"
35,T.NO 33A,,T,DB,24,33-33A,154.2644773,2.16,43,"0°29'24""",79.79322222,12.36891667,,,GOOD,GOOD,,,CULTIVATON LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.79322222222223 12.368916666666667, 79.79333333333334 12.367555555555557)"
