S. No ,Tower No,Supspension/Tension,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earth wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,GT 110KV PONNIMANGAU SS,T,GANTRY,15,,,,92,,79.63758333333334,13.255638888888889,GOOD,MISSING,,,PLAIN,110KV PONNIMANGADU SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63758333333334 13.255638888888889, 79.63761111111111 13.25538888888889)"
2,T.NO 1,T,DD,28,GT-1,28.0185121722126,3.1,89,"86°42'15""",79.63761111111111,13.25538888888889,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63761111111111 13.25538888888889, 79.63652777777779 13.255305555555555)"
3,T.NO 2,T,SC,26,1-2,117.520384482716,5.18,91,"20°5'36""",79.63652777777779,13.255305555555555,GOOD,GOOD,"HT2,LT1",ROAD1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63652777777779 13.255305555555555, 79.63419444444445 13.255888888888888)"
4,T.NO 3,T,SC,26,2-3,261.499520153109,4.95,92,"15°13'38""",79.63419444444445,13.255888888888888,GOOD,GOOD,"HT2,LT2",ROAD1,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63419444444445 13.255888888888888, 79.63188888888888 13.255833333333333)"
5,T.NO 4,S,SA,26,3-4,251.017999352047,3.9,86,,79.63188888888888,13.255833333333333,GOOD,GOOD,LT1,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63188888888888 13.255833333333333, 79.62941666666666 13.255805555555556)"
6,T.NO 5,T,SC,26,4-5,271.0074073058,5.3,88,"24°47'4""",79.62941666666666,13.255805555555556,GOOD,GOOD,,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62941666666666 13.255805555555556, 79.62733333333333 13.254833333333334)"
7,T.NO 6,T,SC,26,5-6,251.049995001,3.78,92,"25°40'17""",79.62733333333333,13.254833333333334,GOOD,GOOD,LT2,"MUD ROAD1,CANAL1",CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62733333333333 13.254833333333334, 79.62505555555555 13.254805555555556)"
8,T.NO 7,S,SA,26,6-7,246,4.18,93,,79.62505555555555,13.254805555555556,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62505555555555 13.254805555555556, 79.62297222222222 13.254833333333334)"
9,T.NO 8,S,SA,26,7-8,228.008810401711,3.72,94,,79.62297222222222,13.254833333333334,GOOD,GOOD,LT1,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62297222222222 13.254833333333334, 79.62102777777777 13.254833333333334)"
10,T.NO 9,T,SC,26,8-9,211.009523593574,3.58,95,"30°26'29""",79.62102777777777,13.254833333333334,GOOD,GOOD,,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62102777777777 13.254833333333334, 79.61933333333333 13.253861111111112)"
11,T.NO 10,S,SA,26,9-10,213.348769716238,4.87,96,,79.61933333333333,13.253861111111112,GOOD,GOOD,,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.61933333333333 13.253861111111112, 79.61822222222222 13.253194444444444)"
12,T.NO 11,T,SC,26,10-11,143.523682242636,3.14,99,"17°16'6""",79.61822222222222,13.253194444444444,GOOD,GOOD,,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.61822222222222 13.253194444444444, 79.61558333333333 13.252583333333334)"
13,T.NO 12,S,SA,26,11-12,293.769533934117,4.89,100,,79.61558333333333,13.252583333333334,GOOD,GOOD,"HT2,LT2","ROAD1,MUD ROAD1",CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.61558333333333 13.252583333333334, 79.61405555555555 13.25225)"
14,T.NO 13,T,SD,28,12-13,171.83617883809,5.74,105,"46°35'1""",79.61405555555555,13.25225,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.61405555555555 13.25225, 79.61308333333332 13.250638888888888)"
