S. No ,Tower No,Joint Box,Supspension/Tension,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earth wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,GT 110KV THIRUPORUR SS,2W,T,GANTRY,15,,,,16,,80.18166667,12.71936111,GOOD,MISSING,,,,110KV THIRUPORUR SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.18166666666667 12.71936111111111, 80.18169444444445 12.718694444444445)"
2,T.NO 1,,T,DD,28,GT-1,74.10802925,6.51,12,"76°54'17""",80.18169444,12.71869444,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.18169444444445 12.718694444444445, 80.1811388888889 12.718527777777778)"
3,T.NO 2,,T,DD,28,01-Feb,64.56004957,5.26,8,"69°35'48""",80.18113889,12.71852778,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1811388888889 12.718527777777778, 80.18108333333333 12.717666666666666)"
4,T.NO 3,,T,DD,28,02-Mar,95.25754563,5.84,14,"35°9'7""",80.18108333,12.71766667,GOOD,GOOD,"HT-2 ,LT-1",ROAD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.18108333333333 12.717666666666666, 80.182 12.716277777777776)"
5,T.NO 4,,S,DA,26,03-Apr,183.330303,4.93,21,,80.182,12.71627778,GOOD,GOOD,"HT-1 ,LT-2",ROAD-1,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.182 12.716277777777776, 80.18291666666667 12.714749999999999)"
6,T.NO 5,,S,DA,26,04-May,195.8621965,4.38,11,,80.18291667,12.71475,GOOD,GOOD,LT-1,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.18291666666667 12.714749999999999, 80.18380555555557 12.713277777777778)"
7,T.NO 6,,S,DA,26,05-Jun,190.3943276,3.71,17,,80.18380556,12.71327778,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.18380555555557 12.713277777777778, 80.18466666666667 12.711805555555555)"
8,T.NO 7,,T,DB,24,06-Jul,187.2965563,5.62,12,"6°17'38""",80.18466667,12.71180556,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.18466666666667 12.711805555555555, 80.1855 12.710055555555554)"
9,T.NO 8,,T,DD,28,07-Aug,213.4408583,5.2,10,"49°57'10""",80.1855,12.71005556,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1855 12.710055555555554, 80.1863888888889 12.709805555555555)"
10,T.NO 9,,T,DD,28,08-Sep,101.651365,4.39,10,"31°12'53""",80.18638889,12.70980556,GOOD,GOOD,LT-1,ROAD-1,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1863888888889 12.709805555555555, 80.18719444444444 12.709)"
