S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type (DC /SC ),Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,Gantry ( Nallambakkam SS ),2W,T,H-POLE,15,,,,32.062592,,12.84502798,80.12803098,GOOD,,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1280309818685 12.8450279776006, 80.1280360110104 12.8451739903539)"
2,69,,T,DC,28,Gantry  - 69,19.15781804,3.65,30.945938,60°46'52''LT,12.84517399,80.12803601,GOOD,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1280360110104 12.8451739903539, 80.126399025321 12.8443310223519)"
3,68,,S,DC,28,69 - 68,203.6241406,2.76,34.242138,,12.84433102,80.12639903,GOOD,NO E/W,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.126399025321 12.8443310223519, 80.1239639986306 12.8428790252655)"
4,67,,S,DC,28,68 - 67,312.2199399,2.4,38.540024,,12.84287903,80.123964,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1239639986306 12.8428790252655, 80.1214989647269 12.8413860406726)"
5,66,,S,DC,28,67 - 66,317.3660494,1.01,41.910435,,12.84138604,80.12149896,GOOD,AVAILABLE,"LT, HT",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1214989647269 12.8413860406726, 80.1190500240772 12.8399819880723)"
6,65,,S,DC,28,66 - 65,310.8054747,3.65,44.342926,,12.83998199,80.11905002,GOOD,AVAILABLE,LT -3,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1190500240772 12.8399819880723, 80.1167099643498 12.838598974049)"
7,64,,S,DC,28,65 - 64,299.45718,0.49,42.437778,,12.83859897,80.11670996,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1167099643498 12.838598974049, 80.1141239795833 12.8371009603142)"
8,LILO : 63,3W,T,DC,28,64 - 63,328.8955175,0.71,46.272442,1°6'9''RT,12.83710096,80.11412398,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1141239795833 12.8371009603142, 80.1116639748215 12.8356119990348)"
9,62,,S,DC,28,63 - 62,316.6738658,1.26,43.758587,,12.835612,80.11166397,GOOD,AVAILABLE,110KV,,PLAIN,DOWNLINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1116639748215 12.8356119990348, 80.1092450413852 12.8341620136052)"
10,61,,S,DC,28,62 - 61,310.621588,0.33,48.067936,,12.83416201,80.10924504,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1092450413852 12.8341620136052, 80.1071410160511 12.8329260181635)"
11,60,,S,DC,28,61 - 60,269.1315054,1.5,42.317226,,12.83292602,80.10714102,GOOD,AVAILABLE,"HT -2, LT",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1071410160511 12.8329260181635, 80.1047639921307 12.8314969874918)"
12,59,,T,DC,28,60 - 59,305.5350296,4.21,42.997337,18°2'35''RT,12.83149699,80.10476399,GOOD,AVAILABLE,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1047639921307 12.8314969874918, 80.1032310258597 12.8297299984842)"
13,58,,S,DC,28,59 - 58,259.6503124,3.6,43.753464,,12.82973,80.10323103,GOOD,AVAILABLE,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1032310258597 12.8297299984842, 80.1013849955052 12.827572999522)"
14,57,,S,DC,28,58 - 57,314.5269798,0.21,43.513088,,12.827573,80.101385,GOOD,AVAILABLE,LTT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1013849955052 12.827572999522, 80.0997210200876 12.8254910185933)"
15,56,,S,DC,28,57 - 56,295.6318795,1.95,48.689404,,12.82549102,80.09972102,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0997210200876 12.8254910185933, 80.0979270413517 12.8235019929707)"
16,55,,S,DC,28,56 - 55,296.7690809,0.22,48.759068,,12.82350199,80.09792704,GOOD,AVAILABLE,LT - 2,ROAD,FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0979270413517 12.8235019929707, 80.0963400118052 12.8215220198035)"
17,54,,S,DC,28,55 - 54,281.6032366,2.11,49.79731,,12.82152202,80.09634001,GOOD,AVAILABLE,,ROAD,FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0963400118052 12.8215220198035, 80.0946919620037 12.8195510152727)"
18,53,,S,DC,28,54 - 53,284.9789095,1.71,50.108406,,12.81955102,80.09469196,GOOD,AVAILABLE,,,FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0946919620037 12.8195510152727, 80.0928689818829 12.8173879813402)"
19,52,,S,DC,28,53 - 52,313.4437792,3.01,46.385365,,12.81738798,80.09286898,GOOD,AVAILABLE,,ROAD,FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0928689818829 12.8173879813402, 80.0909969676285 12.8151510190218)"
20,51,2W,T,MC,45,52 - 51,323.1393075,2.09,47.10302,0°27'19''RT,12.81515102,80.09099697,GOOD,AVAILABLE,"HT , LT",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0909969676285 12.8151510190218, 80.0893879774957 12.8131970297545)"
