S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,GANTRY ORAGADAM 230KV  SS,GT,,15,,,,55,,12.863555555555555,79.9406388888889,GOOD,,,,PLAIN,INSIDE SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9406388888889 12.863555555555555, 79.94044444444445 12.863638888888888)"
2,T.NO-56,T,DB,24,GT-56,22,0.9,56,"33°20'06"" ",12.863638888888888,79.94044444444445,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.94044444444445 12.863638888888888, 79.93988888888889 12.863527777777778)"
3,T.NO-55,T,DB,24,56-55,59.4390444068543,1.07,55,"85°6'28"" ",12.863527777777778,79.93988888888889,GOOD,GOOD,11KV-1,TAR ROAD-1,ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.93988888888889 12.863527777777778, 79.94036111111112 12.862138888888888)"
4,T.NO-54,T,DB,24,55-54,159.39887076137,0.7,55,"77°31'1"" ",12.862138888888888,79.94036111111112,GOOD,GOOD,11KV-1,TAR ROAD-1,ROAD,EARTH AVAILABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.94036111111112 12.862138888888888, 79.94002777777779 12.86211111111111)"
5,T.NO-53,T,DB,24,54-53,34.132096331752,,55,"2°23'20"" ",12.86211111111111,79.94002777777779,GOOD,GOOD,,,ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.94002777777779 12.86211111111111, 79.93897222222222 12.861972222222223)"
6,T.NO-52,S,DA,26,53-52,115.974135047432,,55,,12.861972222222223,79.93897222222222,GOOD,GOOD,,,ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.93897222222222 12.861972222222223, 79.93761111111111 12.86186111111111)"
7,T.NO-51,S,DA,26,52-51,148.660687473185,,55,,12.86186111111111,79.93761111111111,GOOD,GOOD,,,ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.93761111111111 12.86186111111111, 79.93616666666667 12.861722222222221)"
8,T.NO-50,S,DA,26,51-50,156.5407295243,,55,,12.861722222222221,79.93616666666667,GOOD,GOOD,,,ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.93616666666667 12.861722222222221, 79.93475000000001 12.861583333333334)"
9,T.NO-49,S,DA,26,50-49,155.823618235491,,54,,12.861583333333334,79.93475000000001,GOOD,GOOD,,,ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.93475000000001 12.861583333333334, 79.93327777777779 12.861444444444444)"
10,T.NO-48,S,DA,26,49-48,160.611332103311,,555,,12.861444444444444,79.93327777777779,GOOD,GOOD,,,ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.93327777777779 12.861444444444444, 79.93180555555556 12.861277777777778)"
11,T.NO-47,T,DB,24,48-47,159.803003726463,,56,,12.861277777777778,79.93180555555556,GOOD,GOOD,,TAR ROAD-1,ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.93180555555556 12.861277777777778, 79.93050000000001 12.861138888888888)"
12,T.NO-46,S,DA,26,47-46,143.892320851392,,55,,12.861138888888888,79.93050000000001,GOOD,GOOD,,,ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.93050000000001 12.861138888888888, 79.9291388888889 12.860972222222221)"
13,T.NO-45,S,DA,26,46-45,147.979728341418,,5,,12.860972222222221,79.9291388888889,GOOD,GOOD,,,ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9291388888889 12.860972222222221, 79.92777777777778 12.860833333333334)"
14,T.NO-44,S,DA,26,45-44,148.973151943563,,55,,12.860833333333334,79.92777777777778,GOOD,GOOD,,,ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.92777777777778 12.860833333333334, 79.92641666666667 12.860666666666667)"
15,T.NO-43,T,DB,24,44-43,149.090576496303,,56,"12°20'46"" ",12.860666666666667,79.92641666666667,GOOD,GOOD,,,ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.92641666666667 12.860666666666667, 79.92552777777779 12.860722222222222)"
16,T.NO-43A/MC,T,DB,24,43-43A,95.4253635046784,1.5,4,"36°42'58"" ",12.860722222222222,79.92552777777779,GOOD,GOOD,,,PLAIN,EARTH AVAILABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.92552777777779 12.860722222222222, 79.92486111111111 12.860333333333333)"
17,T.NO-42,T,DB,24,43A-42,86.6083136886985,1.2,57,"43°50'51"" ",12.860333333333333,79.92486111111111,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.92486111111111 12.860333333333333, 79.92433333333334 12.85838888888889)"
18,T.NO-41,S,DA,26,42-41,222.427516283395,0.9,55,,12.85838888888889,79.92433333333334,GOOD,GOOD,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.92433333333334 12.85838888888889, 79.92386111111112 12.856583333333333)"
19,T.NO-40,S,DA,26,41-40,204.004901901891,,53,,12.856583333333333,79.92386111111112,GOOD,GOOD,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.92386111111112 12.856583333333333, 79.92322222222222 12.854222222222221)"
20,T.NO-39,T,DB,24,40-39,272.156205146971,1.5,54,,12.854222222222221,79.92322222222222,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.92322222222222 12.854222222222221, 79.92261111111111 12.851916666666666)"
21,T.NO-38 TAPPING,T,DB,24,39-38,261.979006792529,1.09,53,"9°28'1"" ",12.851916666666666,79.92261111111111,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.92261111111111 12.851916666666666, 79.92180555555557 12.850166666666667)"
22,T.NO-37,T,DB,24,38-37,212.115534556053,1.8,54,,12.850166666666667,79.92180555555557,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.92180555555557 12.850166666666667, 79.92080555555556 12.848055555555556)"
23,T.NO-36,T,DB,24,37-36,259.048258052433,1,54,"17°3'43"" ",12.848055555555556,79.92080555555556,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.92080555555556 12.848055555555556, 79.91894444444445 12.845972222222223)"
24,T.NO-35,S,DA,26,36-35,305.196657910928,,55,,12.845972222222223,79.91894444444445,GOOD,GOOD,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.91894444444445 12.845972222222223, 79.91858333333334 12.843972222222224)"
25,T.NO-34,S,DA,26,35-34,226.384628453435,,52,,12.843972222222224,79.91858333333334,GOOD,GOOD,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.91858333333334 12.843972222222224, 79.91813888888889 12.841444444444445)"
26,T.NO-33,T,DB,24,34-33,282.285316656747,,51,,12.841444444444445,79.91813888888889,GOOD,GOOD,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.91813888888889 12.841444444444445, 79.91777777777779 12.839472222222224)"
27,T.NO-32,T,DC,26,33-32,223.787845961303,,50,"2°38'13"" ",12.839472222222224,79.91777777777779,GOOD,GOOD,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.91777777777779 12.839472222222224, 79.91719444444445 12.837)"
28,T.NO-31,T,DD,28,32-31,280.401497856199,2.5,54,"27°27'32"" ",12.837,79.91719444444445,GOOD,GOOD,11KV-1,TAR ROAD-1(SH),PLAIN,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.91719444444445 12.837, 79.91647222222223 12.836166666666667)"
29,T.NO-30,T,DB,24,31-30,121.264174429219,,53,"22°8'23"" ",12.836166666666667,79.91647222222223,GOOD,GOOD,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.91647222222223 12.836166666666667, 79.91580555555556 12.834166666666667)"
30,T.NO-29,T,DC,26,30-29,233.060078091466,,56,,12.834166666666667,79.91580555555556,GOOD,GOOD,"11KV-1,LT-1",CANAL-1,WATER LOGGED,HEAVY BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.91580555555556 12.834166666666667, 79.91497222222223 12.831666666666667)"
31,T.NO-28,T,DB,24,29-28,289.981033862561,,51,"23°14'43"" ",12.831666666666667,79.91497222222223,GOOD,GOOD,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.91497222222223 12.831666666666667, 79.91336111111112 12.829888888888888)"
32,T.NO-27 TAPPING,T,DB,24,28-27,261.344600097266,,56,"29°24'59"" ",12.829888888888888,79.91336111111112,GOOD,GOOD,LT-1,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.91336111111112 12.829888888888888, 79.91283333333334 12.827444444444444)"
33,T.NO-26,S,DA,26,27-26,276.371127290822,,54,,12.827444444444444,79.91283333333334,GOOD,GOOD,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.91283333333334 12.827444444444444, 79.91222222222223 12.824861111111112)"
34,T.NO-25,T,DB,24,26-25,293.972787856291,,56,"38°6'21"" ",12.824861111111112,79.91222222222223,GOOD,GOOD,,,WATER LOGGED,HEAVY BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.91222222222223 12.824861111111112, 79.90991666666667 12.823055555555555)"
35,T.NO-24,S,DA,26,25-24,319.532470963437,1.4,57,,12.823055555555555,79.90991666666667,GOOD,GOOD,,MUD ROAD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.90991666666667 12.823055555555555, 79.90791666666668 12.821388888888889)"
