S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,LILO-1,2W,DC,28,,,water,53,,12.804993,79.906187,Good ,,,,Water logged area ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.906187 12.804993, 79.907635 12.80471)"
2,T.NO-2,T,DC,26,T.NO-5 - T.NO-6,160.2279626,water,59,13°31'27''LT,12.80471,79.907635,Good ,Good,,Canal,Water logged area ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.907635 12.80471, 79.909726 12.804791)"
3,T.NO-3,T,DC,26,T.NO-6 - T.NO-7,227.1409254,water,60,5°28'51''LT,12.804791,79.909726,Good ,Good,,,Water logged area ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.909726 12.804791, 79.911825 12.805071)"
4,T.NO-4,T,DC,29,T.NO-7 - T.NO-8,229.9652148,7.38,50,25°22'15''RT,12.805071,79.911825,Good ,Good,"11kv,",Canal,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.911825 12.805071, 79.913255 12.804625)"
5,T.NO-5,T,DC,26,T.NO-8 - T.NO-9,162.8649747,7.15,50,40°19'11''RT,12.804625,79.913255,Good ,Good,,Canal,Water logged area ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.913255 12.804625, 79.914647 12.802443)"
6,T.NO-6,T,DC,26,T.NO-9 - T.NO-10,284.7174038,water,51,34°7'16''LT,12.802443,79.914647,Good ,Good,"11kv,",Canal,in side water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.914647 12.802443, 79.916548 12.801619)"
7,T.NO-7,T,DC,26,T.NO-10 - T.NO-11,225.6102835,Bushes,52,0°5'57''LT,12.801619,79.916548,Good ,Good,,,Plain,Bushes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.916548 12.801619, 79.918043 12.800974)"
8,T.NO-8,T,DC,26,T.NO-11 - T.NO-12,177.2794404,Bushes,56,3°3'10''LT,12.800974,79.918043,Good ,Good,,Canal,Plain,Bushes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.918043 12.800974, 79.921134 12.799829)"
9,T.NO-9,T,DC,26,T.NO-12 - T.NO-13,358.6209698,water,50,3°2'17''LT,12.799829,79.921134,Good ,Good,,Canal,water logged area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.921134 12.799829, 79.923191 12.799187)"
10,T.NO-10,T,DC,26,T.NO-13 - T.NO-14,234.33523,15.41,51,2°22'8''LT,12.799187,79.923191,Good ,Good,,,Plain,Bushes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.923191 12.799187, 79.925553 12.798554)"
11,T.NO-11,2W,DC,26,T.NO-14 - T.NO-15,265.6633208,13.87,54,54°32'34''RT,12.798554,79.925553,Good ,Good,,Canal,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.925553 12.798554, 79.926307 12.796541)"
12,T.NO-12,T,DC,26,T.NO-15 - T.NO-16,237.2551369,water,52,14°40'3''LT,12.796541,79.926307,Good ,Good,,Canal,water logged area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.926307 12.796541, 79.92703 12.795522)"
13,T.NO-13,T,DC,26,T.NO-16 - T.NO-17,137.3062271,water,49,25°52'4''LT,12.795522,79.92703,Good ,Good,,,water logged area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.92703 12.795522, 79.928351 12.794795)"
14,T.NO-14,T,DC,26,T.NO-17 - T.NO-18,164.3471935,15.25,56,10°17'6''RT,12.794795,79.928351,Good ,Good,11kv,Canal,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.928351 12.794795, 79.929848 12.793581)"
15,T.NO-15,T,DC,26,T.NO-18 - T.NO-19,210.8767412,12.56,55,62°55'18''LT,12.793581,79.929848,Good ,Good,,,water logged area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.929848 12.793581, 79.932432 12.794676)"
16,T.NO-16,T,DC,26,T.NO-19 - T.NO-20,305.5503232,10.95,52,17°5'44''RT,12.794676,79.932432,Good ,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.932432 12.794676, 79.934532 12.794902)"
17,T.NO-17,T,DC,26,T.NO-20 - T.NO-21,229.2596781,12.36,58,17°29'21''RT,12.794902,79.934532,Good ,Good,,Pond,Plain,Bushes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.934532 12.794902, 79.937077 12.794406)"
18,T.NO-18,T,DC,26,T.NO-21 - T.NO-22,281.6238626,11.25,54,17°43'10''RT,12.794406,79.937077,Good ,Good,,,Plain,Bushes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.937077 12.794406, 79.939127 12.793293)"
19,T.NO-19,T,DC,26,T.NO-22 - T.NO-23,254.2833066,water,60,14°12'60''LT,12.793293,79.939127,Good ,Good,11kv/LT,Taar Road,water logged area ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.939127 12.793293, 79.941405 12.792705)"
20,T.NO-20,2W,DC,26,T.NO-23 - T.NO-24,255.6657975,9.59,58,57°14'53''LT,12.792705,79.941405,Good ,Good,,,Plain,Bushes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.941405 12.792705, 79.94302 12.794158)"
21,T.NO-21,T,DC,26,T.NO-24 - T.NO-25,237.8571,water,49,0°34'44''RT,12.794158,79.94302,Good ,Good,,,water logged area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.94302 12.794158, 79.94503 12.79593)"
22,T.NO-22,T,DC,26,T.NO-25 - T.NO-26,293.2336952,water,48,38°43'33''RT,12.79593,79.94503,Good ,Good,,,water logged area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.94503 12.79593, 79.947849 12.796085)"
23,T.NO-23,T,DC,26,T.NO-26 - T.NO-27,306.4180151,water,45,75°6'35''LT,12.796085,79.947849,Good ,Good,,,water logged area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.947849 12.796085, 79.948364 12.798529)"
24,T.NO-24,T,DC,26,T.NO-27 - T.NO-28,275.9510826,water,51,12°56'43''RT,12.798529,79.948364,Good ,Good,,,water logged area ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.948364 12.798529, 79.949587 12.801147)"
25,T.NO-25,T,DC,26,T.NO-28 - T.NO-29,318.5545479,water,53,36°49'33''RT,12.801147,79.949587,Good ,Good,,,In side Pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.949587 12.801147, 79.951582 12.802212)"
26,T.NO-26,T,DC,26,T.NO-29 - T.NO-30,246.5319452,water,52,0°36'46''LT,12.802212,79.951582,Good ,Good,,Pond,In side Pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.951582 12.802212, 79.953761 12.803405)"
27,T.NO-27,T,DC,26,T.NO-30 - T.NO-31,270.7951255,water,55,48°18'24''LT,12.803405,79.953761,Good ,Good,,,In side Pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.953761 12.803405, 79.954204 12.80536)"
28,T.NO-28,T,DC,26,T.NO-31 - T.NO-32,221.4881487,8.63,51,163°22'29''RT,12.80536,79.954204,Good ,Good,,"Canal, Taar Road",In side Pond,Bushes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.954204 12.80536, 79.954048 12.807502)"
29,T.NO-29,T,DC,26,T.NO-32 - T.NO-33,237.5394704,15.62,49,7°2'29''LT,12.807502,79.954048,Good ,Good,,Taar Road,In side factory ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.954048 12.807502, 79.953615 12.809662)"
30,T.NO-30,T,DC,26,T.NO-33 - 110KV VADAKKUPATTU,243.3865239,8.12,47,70°9'40''LT,12.809662,79.953615,Good ,Good,,Taar Road,In side factory ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.953615 12.809662, 79.951799 12.809935)"
31,T.NO-31,T,DC,26,110KV VADAKKUPATTU - ,199.4241711,7.84,46,6°54'42''LT,12.809935,79.951799,Good ,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.951799 12.809935, 79.9505 12.809975)"
32,T.NO-32,T,DC,26, - ,141.0886246,12.16,45,75°41'44''RT,12.809975,79.9505,Good ,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9505 12.809975, 79.950349 12.810643)"
33,T.NO-33,T,DC,26, - ,71.80529228,8.45,45,83°22'24''LT,12.810643,79.950349,Good ,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.950349 12.810643, 79.950626 12.810671)"
34,110KV VADAKKUPATTU,2W,H POLE,15, - ,150.029997,,55,,12.810671,79.950626,Good ,No earth wire ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
