S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type (DC /SC ),Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,LILO : 94,,T,DC,28,,,,26,,12.95296912,80.08096509,GOOD,,,,PLAIN,230kV Kadaperi - 110kV Kadaperi Link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0809650868177 12.9529691208153, 80.0813309568911 12.9526610858738)"
2,1,,T,SC,26,LILO : 94 - 1,56.80472315,6.91,19,20°41'17''LT,12.95266109,80.08133096,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0813309568911 12.9526610858738, 80.0832364987581 12.951982486993)"
3,2,,S,SC,26,01-Feb,224.4080553,5.2,19,0°29'53''RT,12.95198249,80.0832365,GOOD,NO E/W,LT,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0832364987581 12.951982486993, 80.0854888837784 12.9511585459113)"
4,3,,S,SC,26,02-Mar,265.2695323,5.01,20,0°44'52''RT,12.95115855,80.08548888,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0854888837784 12.9511585459113, 80.0871136318892 12.9505403805524)"
5,4,,S,SC +6,32,03-Apr,193.5420484,2.73,20,1°8'23''LT,12.95054038,80.08711363,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0871136318892 12.9505403805524, 80.0883135851472 12.9501105565577)"
6,5,,S,SC+6,32,04-May,143.0752913,-,17,0°27'23''RT,12.95011056,80.08831359,GOOD,AVAILABLE,,NH,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0883135851472 12.9501105565577, 80.0900213140994 12.9494836740195)"
7,6,,S,SC,26,05-Jun,202.2974601,-,18,0°13'11''RT,12.94948367,80.09002131,GOOD,AVAILABLE,,,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0900213140994 12.9494836740195, 80.0922644790261 12.9486505966633)"
8,7,,S,SC,26,06-Jul,264.6905734,-,19,0°15'37''LT,12.9486506,80.09226448,GOOD,AVAILABLE,110KV,,Water Logged,UPLINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0922644790261 12.9486505966633, 80.0945629645138 12.9478086344897)"
9,8,,S,SC,26,07-Aug,270.6540229,-,19,0°9'11''RT,12.94780863,80.09456296,GOOD,AVAILABLE,,,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0945629645138 12.9478086344897, 80.0968430098146 12.9469665884971)"
10,9,,S,SC,26,08-Sep,268.7849267,6.09,19,0°12'5''RT,12.94696659,80.09684301,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0968430098146 12.9469665884971, 80.0990030262619 12.946160333231)"
11,10,,S,SC,26,09-Oct,255.2069781,4.51,18,0°19'60''LT,12.94616033,80.09900303,GOOD,AVAILABLE,LT,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0990030262619 12.946160333231, 80.101347612217 12.9453004337847)"
12,11,,S,SC,26,10-Nov,276.0347869,2.39,20,0°17'53''RT,12.94530043,80.10134761,GOOD,AVAILABLE,,CANAL,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.101347612217 12.9453004337847, 80.103509472683 12.9444949328899)"
13,12,,S,SC+6,32,11-Dec,255.3654571,1.6,20,0°23'51''LT,12.94449493,80.10350947,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.103509472683 12.9444949328899, 80.1058548968285 12.9436392243951)"
14,13,,S,SC+6,32,Dec-13,275.9592661,7.04,20,0°12'50''LT,12.94363922,80.1058549,GOOD,AVAILABLE,,NH,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1058548968285 12.9436392243951, 80.1081782765686 12.942801201716)"
15,14,,S,SC,26,13 - 14,273.0385176,2.39,22,0°34'15''RT,12.9428012,80.10817828,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1081782765686 12.942801201716, 80.1103249657899 12.942002993077)"
