S.No,Tower No.,Tower Suspension / Tension,Tower Type (DC /SC ),Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1, LILO :  13 ,T,DC,28,,,,21,,12.9432211350649,80.105938212946,GOOD,,,,PLAIN,230kV Kadaperi - 110kV Kadaperi Link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.105938212946 12.9432211350649, 80.1056435890495 12.9435731749981)"
2,1,T,DC,28, LILO :  13  - 2,54.87270494921598,-,31.521248,116°10'24''LT,12.9435731749981,80.1056435890495,GOOD,NO E/W,,,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1056435890495 12.9435731749981, 80.1055845804512 12.9434458538889)"
3,2,T,SC,25,"=B7& "" - ""&B8",17.968182635725952,-,29.9582249999999,9°31'33''RT,12.9434458538889,80.1055845804512,GOOD,AVAILABLE,,,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1055845804512 12.9434458538889, 80.1053839176893 12.9431537445634)"
4,3,T,SC,25,"=B8& "" - ""&B9",41.45592538385183,-,28.477539,6°6'15''RT,12.9431537445634,80.1053839176893,GOOD,NO E/W,110KV,,Water Logged,UPLINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1053839176893 12.9431537445634, 80.105108404532 12.9428325500339)"
5,4,T,DC,28,"=B9& "" - ""&B10",50.923949047347186,8.71,28.424845,10°41'17''RT,12.9428325500339,80.105108404532,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.105108404532 12.9428325500339, 80.1033527310937 12.9414262343198)"
6,5,T,DC,28,"=B10& "" - ""&B11",250.39495345038225,5.3,26.455784,2°4'27''RT,12.9414262343198,80.1033527310937,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1033527310937 12.9414262343198, 80.1024579629302 12.940760962665)"
7,6,T,DC,28,"=B11& "" - ""&B12",126.29977200155854,2.81,24.434898,17°51'8''RT,12.940760962665,80.1024579629302,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1024579629302 12.940760962665, 80.1020190026611 12.9406100884079)"
8,7,T,DC,35,"=B12& "" - ""&B13",54.95734110914797,3.59,24.920631,17°5'45''LT,12.9406100884079,80.1020190026611,GOOD,AVAILABLE,,,PLAIN,Monopole Tower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1020190026611 12.9406100884079, 80.1016787812113 12.9403639957308)"
9,8,T,DC,35,"=B13& "" - ""&B14",50.357762404593494,6.1,24.964233,9°2'37''LT,12.9403639957308,80.1016787812113,GOOD,AVAILABLE,,,PLAIN,Monopole Tower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1016787812113 12.9403639957308, 80.1013756915926 12.9400619957596)"
10,9,T,DC,35,"=B14& "" - ""&B15",51.36847279120673,7.04,25.207342,11°2'51''LT,12.9400619957596,80.1013756915926,GOOD,AVAILABLE,,,PLAIN,Monopole Tower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1013756915926 12.9400619957596, 80.1011062134057 12.9396626818925)"
11,10,T,DC,28,"=B15& "" - ""&B16",57.46220147755284,6.03,26.479395,1°35'26''RT,12.9396626818925,80.1011062134057,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1011062134057 12.9396626818925, 80.1006052270531 12.9389632958918)"
12,11,T,DC,28,"=B16& "" - ""&B17",99.0348013152772,-,25.93074,11°56'43''LT,12.9389632958918,80.1006052270531,GOOD,AVAILABLE,,,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1006052270531 12.9389632958918, 80.0998168252408 12.9371543973684)"
13,12,T,DC,28,"=B17& "" - ""&B18",222.07657557946064,8.22,30.2276899999999,2°41'36''RT,12.9371543973684,80.0998168252408,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0998168252408 12.9371543973684, 80.0997442379593 12.9370073787868)"
14,13,T,DC,28,"=B18& "" - ""&B19",22.566422935750253,3.59,30.3683219999999,13°32'21''LT,12.9370073787868,80.0997442379593,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0997442379593 12.9370073787868, 80.099619263783 12.936445204541)"
15,14,T,DC,28,"=B19& "" - ""&B20",68.1366966620148,6.1,30.958651,10°11'42''LT,12.936445204541,80.099619263783,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.099619263783 12.936445204541, 80.0995947048068 12.9357900749892)"
16,15,T,DC,28,"=B20& "" - ""&B21",75.00547168569577,7.04,25.8547569999999,174°17'52''RT,12.9357900749892,80.0995947048068,GOOD,AVAILABLE,"LT, HT",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0995947048068 12.9357900749892, 80.0996923539787 12.9342661611735)"
17,16,T,DC,28,"=B21& "" - ""&B22",171.37551472330512,-,24.8656119999999,37°34'42''LT,12.9342661611735,80.0996923539787,GOOD,AVAILABLE,,,PLAIN,Wastage Store,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0996923539787 12.9342661611735, 80.1009649783372 12.9328389745205)"
18,17,T,DC,28,"=B22& "" - ""&B23",212.20230521648298,8.4,25.7780689999999,16°3'42''RT,12.9328389745205,80.1009649783372,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1009649783372 12.9328389745205, 80.1017258875072 12.931246580556)"
19,18,T,DC,28,"=B23& "" - ""&B24",197.0017596750147,7.33,25.7337069999999,150°6'27''LT,12.931246580556,80.1017258875072,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1017258875072 12.931246580556, 80.1015710737556 12.9294306412339)"
20,19,T,DC,28,"=B24& "" - ""&B25",204.041411856745,5.24,26.569759,0°19'43''RT,12.9294306412339,80.1015710737556,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1015710737556 12.9294306412339, 80.1015529688447 12.9292319901287)"
21,Gantry ( Puthuthangal SS ),T,H-POLE,15,19 - Gantry ,24.558158870654225,-,25.4290309999999,,12.9292319901287,80.1015529688447,GOOD,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
