S.No,Tower No.,Joint box,Tower Suspension / Tension,Tower Type (DC /SC ),Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,GANTRY (PORUR SS ),2W,T,H-POLE,12,,,,32.752426,,13.03141703,80.15349898,GOOD,,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.15349897556 13.0314170289784, 80.1529838237911 13.0317685659974)"
2,1,,T,DC,26,GANTRY  - 1,72.56041868,4.59,34.361607,33°51'13''RT,13.03176857,80.15298382,GOOD,NO E/W,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1529838237911 13.0317685659974, 80.1500022970139 13.0317922867834)"
3,2,,S,SC,24,01-Feb,327.8241442,-,35,,13.03179229,80.1500023,GOOD,AVAILABLE,,,Inside water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1500022970139 13.0317922867834, 80.1489512901753 13.0318133253604)"
4,3,,T,DC,45,02-Mar,118.4938277,-,26,2°34'26''RT,13.03181333,80.14895129,GOOD,AVAILABLE,,,Inside water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1489512901753 13.0318133253604, 80.1471638493239 13.0318046081811)"
5,4,,T,DC,25,03-Apr,198.3306699,-,26,53°24'41''RT,13.03180461,80.14716385,GOOD,AVAILABLE,,ROAD,Inside water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1471638493239 13.0318046081811, 80.1476732175797 13.0324977915734)"
6,5,,T,SC,24,04-May,98.99040572,-,26,48°29'52''RT,13.03249779,80.14767322,GOOD,AVAILABLE,,,Inside water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1476732175797 13.0324977915734, 80.1473716367036 13.0338940490037)"
7,6,,T,SC,24,05-Jun,162.3484146,-,27,9°26'60''RT,13.03389405,80.14737164,GOOD,AVAILABLE,,,Inside water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1473716367036 13.0338940490037, 80.1463345438241 13.0365083646029)"
8,7,,T,SC,24,06-Jul,314.739268,6.21,29.242477,23°50'4''LT,13.03650836,80.14633454,GOOD,AVAILABLE,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1463345438241 13.0365083646029, 80.1464088913053 13.0384469311684)"
9,8,,T,DC,26,07-Aug,219.053642,3.91,26.2822,17°39'58''RT,13.03844693,80.14640889,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1464088913053 13.0384469311684, 80.1462779659777 13.0389200057834)"
10,9,,T,DC,26,08-Sep,58.71317073,5.04,23.62369,18°21'56''LT,13.03892001,80.14627797,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1462779659777 13.0389200057834, 80.1462870184332 13.0390989594161)"
11,9A,,T,H-POLE,12,9 - 9A,24.3162934,-,23.737114,6°15'18''LT,13.03909896,80.14628702,GOOD,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1462870184332 13.0390989594161, 80.1463160198181 13.0392790026962)"
12,9B,,T,H-POLE,12,9A - 9B,24.65927914,-,23.820118,18°54'46''RT,13.039279,80.14631602,GOOD,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1463160198181 13.0392790026962, 80.1462860964238 13.039452927187)"
13,GANTRY (SRMC SS ),2W,T,H-POLE,12,9B - GANTRY ,24.00750266,,,,13.03945293,80.1462861,GOOD,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note : 1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
